,"smt.arith.nl.incremental_linearization=false","-file:{0} smt.arith.nl.incremental_linearization=false",,,,,,
,"RV 11691","T_norm 11691","T_cpu 11691","T_wc 11691","# SAT 11691","# UNSAT 11691","# UNKNOWN 11691",
"QF_NIA_small\841.smt2",0,0.0783121705797797,0.078,0.154,1,0,0,
"QF_NIA_small\843.smt2",,852.13849287169,1000,1000,0,0,0,
"QF_NIA_small\849.smt2",0,0.0943167765869745,0.109,0.257,1,0,0,
"QF_NIA_small\866.smt2",0,40.3922053649956,43.906,45.698,1,0,0,
"QF_NIA_small\888.smt2",,841.174105347809,1000,1000,0,0,0,
"QF_NIA_small\891.smt2",0,0.0558999572466866,0.063,0.196,1,0,0,
"QF_NIA_small\909.smt2",0,0.0426729765013055,0.047,0.117,1,0,0,
"QF_NIA_small\93.smt2",0,21.2217725197177,24.438,25.507,1,0,0,
"QF_NIA_small\940.smt2",,900.172117039587,1000,1000,0,0,0,
"QF_NIA_small\946.smt2",0,0.0553790766624312,0.063,0.12,1,0,0,
"QF_NIA_small\947.smt2",0,0.0420688545688546,0.047,0.116,1,0,0,
"QF_NIA_small\966.smt2",,930.19119608715,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,919.56043956044,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.119341000365097,0.156,0.222,1,0,0,
"QF_NIA_small\99.smt2",,915.536105032823,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",,920.774647887324,1000,1000,0,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",,937.696100403407,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0424145761245674,0.047,0.118,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0554025423728814,0.063,0.143,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0292767577250336,0.031,0.133,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0547300125575554,0.063,0.125,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,9.58269912427022,10.984,11.556,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0432565063961182,0.047,0.186,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.161220715166461,0.188,0.257,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.14486804995971,0.172,0.266,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0565527681660899,0.063,0.126,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.025778785488959,0.031,0.205,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.28276384083045,0.313,0.516,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",,936.856247201075,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.113893728222996,0.125,0.265,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0268701191944102,0.031,0.149,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.482274590163934,0.563,0.75,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.03053495762712,4.547,4.903,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",,901.724137931034,1000,1000,0,0,0,
