,"smt.arith.nl.divisions_check=false","-file:{0} smt.arith.nl.divisions_check=false",,,,,,
,"RV 11682","T_norm 11682","T_cpu 11682","T_wc 11682","# SAT 11682","# UNSAT 11682","# UNKNOWN 11682",
"QF_NIA_small\183.smt2",,831.47853736089,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,884.566596194503,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0666547716150082,0.078,0.149,1,0,0,
"QF_NIA_small\1852.smt2",0,0.057396839332748,0.063,0.192,1,0,0,
"QF_NIA_small\1858.smt2",0,0.0525311370028124,0.063,0.185,1,0,0,
"QF_NIA_small\187.smt2",0,0.0682981613038028,0.078,0.161,1,0,0,
"QF_NIA_small\1884.smt2",0,0.192117968094039,0.219,0.382,1,0,0,
"QF_NIA_small\1895.smt2",0,87.7934904952476,83.891,87.183,1,0,0,
"QF_NIA_small\1898.smt2",0,77.4495781322238,80.078,83.284,1,0,0,
"QF_NIA_small\1901.smt2",0,141.840401785714,163.266,169.745,1,0,0,
"QF_NIA_small\1917.smt2",0,0.204023629068212,0.219,0.442,1,0,0,
"QF_NIA_small\192.smt2",0,0.0670925697865353,0.078,0.164,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0580337328007102,0.063,0.171,1,0,0,
"QF_NIA_small\1933.smt2",0,1.12920454545455,1.188,1.396,1,0,0,
"QF_NIA_small\1934.smt2",0,1.2364402173913,1.359,1.524,0,1,0,
"QF_NIA_small\199.smt2",0,0.157910628019324,0.172,0.292,1,0,0,
"QF_NIA_small\20.smt2",0,1.84701448243115,1.859,2.052,1,0,0,
"QF_NIA_small\203.smt2",0,7.76521771327014,6.266,6.557,1,0,0,
"QF_NIA_small\211.smt2",0,14.25175,15.328,15.967,1,0,0,
"QF_NIA_small\23.smt2",0,6.72616060225847,7.688,8.067,1,0,0,
"QF_NIA_small\250.smt2",0,0.07845,0.094,0.211,1,0,0,
"QF_NIA_small\257.smt2",0,0.0409446764091858,0.047,0.17,1,0,0,
"QF_NIA_small\264.smt2",0,0.103068693693694,0.109,0.22,1,0,0,
"QF_NIA_small\269.smt2",0,0.0998309336823735,0.109,0.209,1,0,0,
"QF_NIA_small\281.smt2",0,0.0713441251364132,0.094,0.221,1,0,0,
"QF_NIA_small\307.smt2",0,62.3506425233645,63.781,66.347,1,0,0,
"QF_NIA_small\310.smt2",0,223.391822916667,256.281,266.467,1,0,0,
"QF_NIA_small\322.smt2",0,0.0561882251826386,0.063,0.169,1,0,0,
