,"smt.arith.nl.branching=false","-file:{0} smt.arith.nl.branching=false",,,,,,
,"RV 11681","T_norm 11681","T_cpu 11681","T_wc 11681","# SAT 11681","# UNSAT 11681","# UNKNOWN 11681",
"QF_NIA_small\367.smt2",0,0.05552016985138,0.063,0.16,1,0,0,
"QF_NIA_small\370.smt2",0,0.052341873498799,0.063,0.175,1,0,0,
"QF_NIA_small\377.smt2",0,0.0586060062752129,0.063,0.167,1,0,0,
"QF_NIA_small\40.smt2",,865.894039735099,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.116681540030597,0.109,0.207,1,0,0,
"QF_NIA_small\424.smt2",0,23.6083667334669,28.156,29.256,1,0,0,
"QF_NIA_small\443.smt2",0,0.197507552870091,0.219,0.417,1,0,0,
"QF_NIA_small\449.smt2",0,0.274320892226148,0.297,0.476,1,0,0,
"QF_NIA_small\455.smt2",0,0.233690795352994,0.25,0.451,1,0,0,
"QF_NIA_small\460.smt2",0,0.250761507220217,0.266,0.466,1,0,0,
"QF_NIA_small\466.smt2",0,0.270144628099174,0.297,0.473,1,0,0,
"QF_NIA_small\485.smt2",0,29.6684559775572,32.859,34.211,1,0,0,
"QF_NIA_small\496.smt2",0,0.0841016295025729,0.094,0.181,1,0,0,
"QF_NIA_small\498.smt2",0,0.0575484154929578,0.063,0.173,1,0,0,
"QF_NIA_small\500.smt2",0,0.0554730589732711,0.063,0.158,1,0,0,
"QF_NIA_small\507.smt2",0,0.0416755206119847,0.047,0.168,1,0,0,
"QF_NIA_small\514.smt2",0,0.0846460940871817,0.094,0.222,1,0,0,
"QF_NIA_small\520.smt2",0,0.0852124608967675,0.078,0.165,1,0,0,
"QF_NIA_small\527.smt2",0,0.0657431617055511,0.078,0.19,1,0,0,
"QF_NIA_small\535.smt2",0,0.102898740818468,0.094,0.162,1,0,0,
"QF_NIA_small\54.smt2",,837.134853941577,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.123407267579047,0.125,0.231,1,0,0,
"QF_NIA_small\551.smt2",0,0.154267173571054,0.141,2.494,1,0,0,
"QF_NIA_small\572.smt2",0,229.298921130952,257.797,268.168,1,0,0,
"QF_NIA_small\573.smt2",0,0.933120674740484,1.031,1.219,1,0,0,
"QF_NIA_small\574.smt2",0,1.03125,1.031,1.238,1,0,0,
"QF_NIA_small\58.smt2",,894.017094017094,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,7.64453661327231,7.984,8.34,1,0,0,
"QF_NIA_small\586.smt2",0,10.7881669960474,10.438,10.862,0,1,0,
"QF_NIA_small\599.smt2",0,0.215454331450094,0.219,0.385,1,0,0,
"QF_NIA_small\604.smt2",0,1.37139067127345,1.328,1.514,0,1,0,
"QF_NIA_small\624.smt2",0,0.253064516129032,0.281,0.444,1,0,0,
"QF_NIA_small\625.smt2",0,0.271206331877729,0.297,0.488,1,0,0,
"QF_NIA_small\65.smt2",,933.51182507809,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.167706389925373,0.172,0.285,1,0,0,
"QF_NIA_small\673.smt2",0,28.0397700610042,28.563,29.734,1,0,0,
"QF_NIA_small\677.smt2",0,0.674601313320826,0.688,0.876,1,0,0,
"QF_NIA_small\701.smt2",0,0.0434096945551129,0.047,0.157,1,0,0,
"QF_NIA_small\706.smt2",0,0.0585535154500672,0.063,0.17,1,0,0,
"QF_NIA_small\707.smt2",0,0.0719671950682519,0.078,0.096,1,0,0,
"QF_NIA_small\709.smt2",0,0.0571959755030621,0.063,0.181,1,0,0,
"QF_NIA_small\711.smt2",0,0.0987537764350453,0.109,0.299,1,0,0,
"QF_NIA_small\722.smt2",0,0.06584911361805,0.078,0.204,1,0,0,
"QF_NIA_small\73.smt2",,901.724137931034,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.109277058086084,0.125,0.21,1,0,0,
"QF_NIA_small\74.smt2",0,0.0878302731751008,0.094,0.19,1,0,0,
"QF_NIA_small\75.smt2",0,0.0828230574324324,0.094,0.192,1,0,0,
"QF_NIA_small\750.smt2",0,0.350692892266428,0.375,0.549,1,0,0,
