,"z3legacy","{0} smt.arith.solver=2",,,,,,
,"RV 11746","T_norm 11746","T_cpu 11746","T_wc 11746","# SAT 11746","# UNSAT 11746","# UNKNOWN 11746",
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-loops_true-termination.c__term_unfeasibility_0_0.smt2",0,1.23194095477387,1.406,1.578,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c__p20452_terminationG_0.smt2",0,5.61684431524548,6.234,6.442,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-nestedLoop_true-termination.c__p20453_terminationG_0.smt2",0,27.5240127175368,29.484,30.589,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-speedFails4_true-termination.c__p20494_terminationG_0.smt2",0,1.87514341441028,1.953,2.12,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AliasDarteFeautrierGonnord-SAS2010-speedpldi4_true-termination.c__p20516_terminationG_0.smt2",0,9.15581432192649,10.359,10.806,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDiv.c__p20546_terminationG_0.smt2",0,0.671086398631309,0.75,0.883,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDiv.c__p20552_terminationG_0.smt2",0,7.11481654228856,8.203,8.607,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDiv.c__p20553_terminationG_0.smt2",0,72.1881217432496,72.844,75.791,0,0,1,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDiv.c__p20556_edge_closing_0.smt2",0,7.32289439931595,8.188,8.581,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDiv.c__p20557_edge_closing_0.smt2",0,20.5728419164204,23.297,24.27,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWide.c__p20618_terminationG_0.smt2",0,7.19896317483018,9.625,10.074,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWide.c__p20619_terminationG_0.smt2",,834.463502193857,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWide.c__p20626_edge_closing_0.smt2",0,7.76928478824546,8.594,9.002,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWide.c__p20627_edge_closing_0.smt2",0,32.0193172526574,37.438,38.972,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20638_terminationG_0.smt2",0,7.95295344751866,8.656,9.024,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20639_terminationG_0.smt2",0,1.47557502149613,1.641,1.791,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20650_terminationG_0.smt2",0,6.41700600085727,7.156,7.496,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20651_terminationG_0.smt2",,938.116591928251,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20652_terminationG_0.smt2",,913.53711790393,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20655_terminationG_0.smt2",0,26.0574177706715,27.266,28.389,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20656_terminationG_0.smt2",,926.073483842408,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20657_terminationG_0.smt2",,883.819180397127,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20661_edge_closing_0.smt2",0,17.533993965876,20.141,21.006,0,0,1,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20662_edge_closing_0.smt2",0,646.897304132587,718.328,747.335,0,0,1,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20668_edge_closing_0.smt2",,993.35232668566,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__p20669_edge_closing_0.smt2",,899.784946236559,1000,1000,0,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternDivWidening.c__terminationQ_1_0.smt2",0,97.6971949038891,104.469,108.657,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20685_terminationG_0.smt2",0,4.95540681502086,5.109,5.343,1,0,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20688_terminationG_0.smt2",0,3.61420404085258,3.891,4.108,0,1,0,
"QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__AlternKonv.c__p20689_terminationG_0.smt2",0,14.0869613016711,15.313,16.008,0,1,0,
