,"yices2","{0}",,,,,,
,"RV 11750","T_norm 11750","T_cpu 11750","T_wc 11750","# SAT 11750","# UNSAT 11750","# UNKNOWN 11750",
"QF_LIA/convert/convert-jpg2gif-query-1188.smt2",0,0.0982098147220828,0.094,0.165,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1189.smt2",0,0.085944347063979,0.094,1.229,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1190.smt2",0,0.0885040613718412,0.094,0.702,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1191.smt2",0,0.0869733924611974,0.094,0.83,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1192.smt2",0,0.0738867540687161,0.078,0.305,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1193.smt2",0,0.0830334462320068,0.094,0.22,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1194.smt2",0,0.0675361570247934,0.078,0.761,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1195.smt2",0,0.0849761698440208,0.094,0.674,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1196.smt2",0,0.0827880962431405,0.094,1.05,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1197.smt2",0,0.0815827787021631,0.094,1.32,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1198.smt2",0,0.0932026476578411,0.109,0.444,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1199.smt2",0,0.0666004482477588,0.078,0.892,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1200.smt2",0,0.0888247282608696,0.094,0.675,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1201.smt2",0,0.0840655807972567,0.094,0.242,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1202.smt2",0,0.084500215424386,0.094,0.14,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1203.smt2",0,0.0746289954337899,0.078,1.058,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1204.smt2",0,0.083528534923339,0.094,0.166,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1206.smt2",0,0.0853088299260548,0.094,0.159,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1207.smt2",0,0.102883318345324,0.109,0.148,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1208.smt2",0,0.074799771167048,0.078,0.128,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1209.smt2",0,0.0138506355932203,0.016,0.06,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1212.smt2",0,0.0145019964507542,0.016,0.067,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1213.smt2",0,0.0141749783174328,0.016,0.829,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1214.smt2",0,0.0136539264828738,0.016,0.079,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1217.smt2",0,0.01,0,0.705,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1218.smt2",0,0.0142740174672489,0.016,0.053,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1219.smt2",0,0.0283376679670568,0.031,0.643,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1222.smt2",0,0.01,0,0.161,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1223.smt2",0,0.0158216360116167,0.016,1.323,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1224.smt2",0,0.01,0,0.239,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1227.smt2",0,0.0136710581346717,0.016,0.073,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1228.smt2",0,0.013833051206094,0.016,1.512,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1229.smt2",0,0.0138623833757422,0.016,0.861,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1232.smt2",0,0.0135971297836938,0.016,0.732,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1233.smt2",0,0.0137054507337526,0.016,0.076,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1234.smt2",0,0.0132876016260163,0.016,0.844,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1237.smt2",0,0.0135971297836938,0.016,0.797,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1238.smt2",0,0.0141626949740035,0.016,0.766,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1239.smt2",0,0.01,0,0.178,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1242.smt2",0,0.01,0,0.938,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1243.smt2",0,0.0266401792991035,0.031,0.818,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1337.smt2",0,0.0711835801393728,0.078,0.224,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1338.smt2",0,0.117369838420108,0.125,0.17,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1342.smt2",0,0.110012620950778,0.125,0.236,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1343.smt2",0,0.107524671052632,0.125,0.256,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1347.smt2",0,0.0956974069427018,0.109,1.086,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1348.smt2",0,0.0971602972399151,0.109,0.249,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1351.smt2",0,0.103911217075386,0.109,0.155,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1352.smt2",0,0.268858225108225,0.297,0.336,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1353.smt2",0,0.101423980496454,0.109,0.876,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1358.smt2",0,0.0969955489614243,0.109,0.232,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1359.smt2",0,0.107348111658456,0.125,0.25,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1363.smt2",0,0.0921640037593985,0.094,0.168,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1365.smt2",0,0.0985835846617837,0.109,0.174,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1370.smt2",0,0.115299823633157,0.125,0.318,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1371.smt2",0,0.122196261682243,0.125,0.176,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1372.smt2",0,0.0870119787045253,0.094,0.136,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1373.smt2",0,0.163683024536805,0.156,0.267,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1379.smt2",0,0.0710906916050457,0.078,0.281,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1380.smt2",0,0.12071707016824,0.141,0.921,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1385.smt2",0,0.0881404083204931,0.109,1.574,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1386.smt2",0,0.122608777194299,0.156,1.296,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1387.smt2",0,0.104528323435359,0.109,1.331,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1388.smt2",0,0.091518898740084,0.094,0.211,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1391.smt2",0,0.135971297836938,0.156,0.21,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1392.smt2",0,0.135632780082988,0.156,0.217,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1394.smt2",0,0.0977831196581196,0.109,0.217,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1395.smt2",0,0.174584018077239,0.203,0.237,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1396.smt2",0,0.0998309336823735,0.109,0.166,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1402.smt2",0,0.129086222027205,0.141,1.252,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1404.smt2",0,0.124708562950403,0.141,0.248,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1405.smt2",0,0.122597280825129,0.125,0.654,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1406.smt2",0,0.110477397549641,0.125,0.245,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1407.smt2",0,0.132041068222621,0.141,0.193,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1408.smt2",0,0.113993025283348,0.125,0.441,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1409.smt2",0,0.119734432234432,0.141,0.209,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1410.smt2",0,0.119570187471422,0.125,0.264,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1411.smt2",0,0.115554573574901,0.125,0.87,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1412.smt2",0,0.111229264142918,0.125,0.946,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1413.smt2",0,0.126804956896552,0.141,0.324,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1414.smt2",0,0.0980870217554389,0.125,0.929,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1415.smt2",0,0.120865858668858,0.141,0.18,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1416.smt2",0,0.134393558702604,0.141,0.731,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1417.smt2",0,0.120174632352941,0.141,0.261,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1418.smt2",0,0.128354057591623,0.141,0.17,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1419.smt2",0,0.107040523945968,0.125,0.704,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1420.smt2",0,0.122025198320112,0.125,0.266,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1421.smt2",0,0.110664409648752,0.125,1.062,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1422.smt2",0,0.108777038269551,0.125,0.172,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1423.smt2",0,0.121164538714992,0.141,0.889,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1424.smt2",0,0.106560717196414,0.125,1.621,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1425.smt2",0,0.107348111658456,0.125,0.248,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1426.smt2",0,0.124405328258801,0.125,0.174,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1427.smt2",0,0.110852055955914,0.125,0.257,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1428.smt2",0,0.118432971014493,0.125,0.925,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1429.smt2",0,0.0989245568525724,0.109,1.197,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1430.smt2",0,0.129884105960265,0.141,0.262,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1431.smt2",0,0.0966677228559358,0.109,0.239,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1432.smt2",0,0.122069502074689,0.141,0.232,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1433.smt2",0,0.118058690744921,0.125,0.257,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1434.smt2",0,0.0985835846617837,0.109,0.194,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1435.smt2",0,0.135971297836938,0.156,0.966,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1436.smt2",0,0.132041068222621,0.141,0.2,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1437.smt2",0,0.106560717196414,0.125,0.178,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1438.smt2",0,0.111752136752137,0.125,0.17,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1439.smt2",0,0.0999617737003058,0.109,0.628,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1440.smt2",0,0.114743308468627,0.125,0.924,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1441.smt2",0,0.111507066276803,0.109,0.782,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1442.smt2",0,0.12846615720524,0.141,0.17,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1443.smt2",0,0.109231411862991,0.125,0.178,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1444.smt2",0,0.113350671868227,0.125,0.908,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1445.smt2",0,0.113893728222996,0.125,0.25,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1446.smt2",0,0.126328502415459,0.125,0.285,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1447.smt2",0,0.104623914037494,0.109,0.245,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1448.smt2",0,0.118540344514959,0.125,0.197,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1449.smt2",0,0.111229264142918,0.125,1.13,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1450.smt2",0,0.082753164556962,0.094,0.138,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1451.smt2",0,0.110151642796967,0.125,0.183,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1452.smt2",0,0.110805084745763,0.125,0.236,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1453.smt2",0,0.110664409648752,0.125,0.936,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1454.smt2",0,0.108854662226451,0.109,0.156,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1455.smt2",0,0.10047387295082,0.094,0.196,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1456.smt2",0,0.118480668546114,0.141,0.182,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1457.smt2",0,0.128817733990148,0.125,0.164,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1458.smt2",0,0.124973449447748,0.141,0.17,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1459.smt2",0,0.111236023334954,0.109,0.165,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1460.smt2",0,0.103958427987278,0.109,0.855,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1461.smt2",0,0.117369838420108,0.125,0.186,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1462.smt2",0,0.116584930896121,0.125,0.75,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1463.smt2",0,0.111507066276803,0.109,0.815,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1464.smt2",0,0.109231411862991,0.125,0.163,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1465.smt2",0,0.114442013129103,0.125,0.224,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1466.smt2",0,0.113350671868227,0.125,0.938,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1467.smt2",0,0.131216547725245,0.141,0.18,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1468.smt2",0,0.116119005328597,0.125,0.193,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1469.smt2",,913.53711790393,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1470.smt2",0,1.04649246704331,1.063,1.129,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1471.smt2",0,4.9045803650935,5.266,6.392,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1472.smt2",0,114.941233633388,134.281,139.257,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1473.smt2",,948.322756119674,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1474.smt2",,918.752744839701,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1475.smt2",0,3.987875,4.766,4.932,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1476.smt2",,886.440677966102,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1477.smt2",0,2.62987047177759,2.984,3.104,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1480.smt2",,856.674856674857,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1481.smt2",,854.575163398693,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1483.smt2",,906.019922044175,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1484.smt2",0,8.13612751531059,8.891,10.201,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1485.smt2",,865.894039735099,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1486.smt2",0,2.81053891605542,3.297,4.495,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1491.smt2",,870.216306156406,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1492.smt2",0,19.3294778782112,19.422,20.167,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1496.smt2",0,138.084086134454,157.094,163.802,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1497.smt2",,888.322717622081,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1498.smt2",,1071.72131147541,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1501.smt2",,1030.54187192118,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1502.smt2",,923.620309050773,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1503.smt2",0,81.3254149377593,93.688,97.511,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1504.smt2",0,157.494318181818,171.422,179.06,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1505.smt2",,944.469525959368,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1511.smt2",,842.529198550141,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1512.smt2",,888.700084961767,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1516.smt2",,1017.01507049101,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1518.smt2",,938.958707360862,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1519.smt2",,948.75283446712,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1522.smt2",0,8.3015873015873,9.5,9.86,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1523.smt2",,911.944202266783,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1524.smt2",,916.739702015776,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1525.smt2",,933.095450490633,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1526.smt2",,984.934086629002,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1532.smt2",,931.019136626613,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1533.smt2",,907.986111111111,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1534.smt2",0,3.73176532769556,4.219,5.409,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1535.smt2",,881.213142375737,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1538.smt2",,784.696174043511,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1539.smt2",,902.112979732643,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1540.smt2",,843.208383716243,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1541.smt2",0,1.71896997929607,1.984,2.073,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1543.smt2",,864.820173625465,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1544.smt2",,925.663716814159,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1545.smt2",,901.335631193451,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1546.smt2",,867.689755288262,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1547.smt2",,865.894039735099,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1548.smt2",,886.440677966102,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1549.smt2",,890.212765957447,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1550.smt2",,1069.52965235174,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1551.smt2",,899.784946236559,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1552.smt2",,878.622427551449,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1553.smt2",,915.536105032823,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1554.smt2",,928.952042628774,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1555.smt2",,965.835641735919,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1556.smt2",,836.8,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1557.smt2",,859.843814221126,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1558.smt2",,889.834113143343,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1559.smt2",,912.739965095986,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1560.smt2",0,43.3661720103986,47.844,50.705,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1561.smt2",,856.324191567745,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1562.smt2",,874.581939799331,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1563.smt2",,880.100967606226,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1564.smt2",,852.485737571312,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1565.smt2",,873.48643006263,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1566.smt2",,947.463768115942,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1567.smt2",,859.4905505341,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1568.smt2",,1083.9378238342,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1569.smt2",,929.364726788094,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1570.smt2",,950.477055883689,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1571.smt2",,894.399315946986,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1572.smt2",,916.739702015776,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1573.smt2",,1019.49317738791,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1574.smt2",,932.67944716897,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1575.smt2",,844.229217110573,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1576.smt2",,906.805374945817,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1577.smt2",0,0.157288932633421,0.172,1.111,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-1578.smt2",,873.851294903926,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1579.smt2",,1133.26110509209,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1580.smt2",,1019.49317738791,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1581.smt2",,964.944649446495,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1582.smt2",,911.149825783972,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1583.smt2",,909.565217391304,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1584.smt2",,878.991596638655,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1585.smt2",0,47.0322663765461,49.078,51.452,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1586.smt2",,908.380373425966,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1587.smt2",,944.043321299639,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1588.smt2",,1064.08952187182,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1589.smt2",0,17.3974622770919,18.188,18.99,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1590.smt2",,911.546840958606,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1591.smt2",,852.485737571312,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1592.smt2",,887.568943572338,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1593.smt2",0,19.0990696957237,22.203,23.701,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1594.smt2",0,316.996047754034,347.453,361.083,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1595.smt2",0,36.2672304439746,41,43.699,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1596.smt2",,862.680412371134,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1597.smt2",0,17.5162674978128,19.141,20.614,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1598.smt2",,872.757613683771,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1599.smt2",,884.940778341794,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1600.smt2",,857.025809094633,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1601.smt2",,995.242626070409,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1602.smt2",0,755.962575023084,782.703,814.63,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1603.smt2",0,187.035944092827,211.891,220.872,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1604.smt2",,884.940778341794,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1605.smt2",0,136.303505154639,158,165.032,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1606.smt2",0,19.2694403300889,21.766,22.811,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1607.smt2",,885.315277190013,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1608.smt2",,861.61449752883,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1609.smt2",0,45.7012929112795,49,50.941,1,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1610.smt2",,915.135608048994,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1611.smt2",,881.956155143339,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1612.smt2",,818.786692759296,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1613.smt2",,920.369555653322,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1614.smt2",,950.045413260672,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1615.smt2",,865.177832919768,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1616.smt2",,877.88501888376,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1617.smt2",,869.85446985447,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1618.smt2",,804.306036139946,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-1619.smt2",,894.781864841745,1000,1000,0,0,0,
"QF_LIA/convert/convert-jpg2gif-query-2120.smt2",0,0.0148850182149362,0.016,0.577,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-2121.smt2",0,0.0144379416961131,0.016,0.093,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-2122.smt2",0,0.0137573653198653,0.016,0.126,0,1,0,
"QF_LIA/convert/convert-jpg2gif-query-2124.smt2",0,0.0136882328308208,0.016,1.448,0,1,0,
