,"smt.arith.nl.propagate_monomial_bounds=false","-file:{0} smt.arith.nl.propagate_monomial_bounds=false",,,,,,
,"RV 11694","T_norm 11694","T_cpu 11694","T_wc 11694","# SAT 11694","# UNSAT 11694","# UNKNOWN 11694",
"QF_NIA_small\281.smt2",0,0.0520708880923935,0.063,0.257,1,0,0,
"QF_NIA_small\307.smt2",0,57.7668162565551,68.453,71.169,1,0,0,
"QF_NIA_small\310.smt2",0,200.807506887052,243.906,253.517,1,0,0,
"QF_NIA_small\322.smt2",0,0.341532433609055,0.375,0.552,1,0,0,
"QF_NIA_small\34.smt2",0,46.1938825608798,56.219,58.634,1,0,0,
"QF_NIA_small\35.smt2",,828.18685669042,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0552386987748204,0.063,0.126,1,0,0,
"QF_NIA_small\364.smt2",0,0.0670650389823554,0.078,0.113,1,0,0,
"QF_NIA_small\367.smt2",0,0.0560437205315045,0.063,0.207,1,0,0,
"QF_NIA_small\370.smt2",0,0.0707215491129381,0.078,0.164,1,0,0,
"QF_NIA_small\377.smt2",0,0.0655322774659182,0.078,0.256,1,0,0,
"QF_NIA_small\40.smt2",,985.862393967955,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.141137737478411,0.156,0.198,1,0,0,
"QF_NIA_small\424.smt2",0,25.1403668843642,31.281,32.511,1,0,0,
"QF_NIA_small\443.smt2",0,0.199801344743276,0.234,0.464,1,0,0,
"QF_NIA_small\449.smt2",0,0.202937915742794,0.219,0.408,1,0,0,
"QF_NIA_small\455.smt2",0,0.253766173752311,0.328,0.535,1,0,0,
"QF_NIA_small\460.smt2",0,0.234963002114165,0.266,0.434,1,0,0,
"QF_NIA_small\466.smt2",0,0.272754721124286,0.297,0.439,1,0,0,
"QF_NIA_small\485.smt2",0,29.1962294600939,35.672,37.072,1,0,0,
"QF_NIA_small\496.smt2",0,0.0282031924072476,0.031,0.268,1,0,0,
