,"smt.arith.nl.bounded_nra=false","-file:{0} smt.arith.nl.bounded_nra=false",,,,,,
,"RV 11680","T_norm 11680","T_cpu 11680","T_wc 11680","# SAT 11680","# UNSAT 11680","# UNKNOWN 11680",
"QF_NIA_small\307.smt2",0,56.571004193849,58.031,60.379,1,0,0,
"QF_NIA_small\310.smt2",0,205.622762668526,211.422,219.943,1,0,0,
"QF_NIA_small\322.smt2",0,0.0639364303178484,0.063,0.153,1,0,0,
"QF_NIA_small\34.smt2",0,47.0338425512935,50.406,52.437,1,0,0,
"QF_NIA_small\35.smt2",,954.81515289822,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0833864795918367,0.094,0.183,1,0,0,
"QF_NIA_small\364.smt2",0,0.054936974789916,0.063,0.173,1,0,0,
"QF_NIA_small\367.smt2",0,0.0706603977518374,0.078,0.166,1,0,0,
"QF_NIA_small\370.smt2",0,0.0695774797786292,0.078,0.165,1,0,0,
"QF_NIA_small\377.smt2",0,0.0560677530017153,0.063,0.165,1,0,0,
"QF_NIA_small\40.smt2",,940.647482014389,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.0709056399132321,0.078,0.193,1,0,0,
"QF_NIA_small\424.smt2",0,23.7322174582234,25.797,26.858,1,0,0,
"QF_NIA_small\443.smt2",0,0.099657012195122,0.109,0.229,1,0,0,
"QF_NIA_small\449.smt2",0,0.0862846458424989,0.094,0.295,1,0,0,
"QF_NIA_small\455.smt2",0,0.111799914493373,0.125,0.21,1,0,0,
"QF_NIA_small\460.smt2",0,0.0979086435601198,0.109,0.208,1,0,0,
"QF_NIA_small\466.smt2",0,0.0820263488080301,0.094,0.223,1,0,0,
"QF_NIA_small\485.smt2",0,28.9225172975173,33.969,35.38,1,0,0,
"QF_NIA_small\496.smt2",0,0.0274454240134341,0.031,0.153,1,0,0,
"QF_NIA_small\498.smt2",0,0.0673136326194399,0.078,0.151,1,0,0,
"QF_NIA_small\500.smt2",0,0.0671201232032854,0.078,0.167,1,0,0,
"QF_NIA_small\507.smt2",0,0.0401237725040917,0.047,0.155,1,0,0,
"QF_NIA_small\514.smt2",0,0.0544564764681383,0.063,0.184,1,0,0,
"QF_NIA_small\520.smt2",0,0.0402720739219713,0.047,0.178,1,0,0,
"QF_NIA_small\527.smt2",0,0.0589760938204781,0.063,0.192,1,0,0,
"QF_NIA_small\535.smt2",0,0.0529995946493717,0.063,0.169,1,0,0,
"QF_NIA_small\54.smt2",,936.017897091723,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.0582405345211581,0.063,0.54,1,0,0,
"QF_NIA_small\551.smt2",0,0.043934811827957,0.047,0.177,1,0,0,
"QF_NIA_small\572.smt2",0,191.798043427775,197.391,205.317,1,0,0,
"QF_NIA_small\573.smt2",0,1.03068693693694,1.094,1.289,1,0,0,
"QF_NIA_small\574.smt2",0,0.892786343612335,0.969,1.157,1,0,0,
"QF_NIA_small\58.smt2",,853.529171766626,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,7.64749402152252,9.172,9.51,1,0,0,
"QF_NIA_small\586.smt2",0,9.36101417089678,10.578,11.012,0,1,0,
"QF_NIA_small\599.smt2",0,0.191876310272537,0.219,0.29,1,0,0,
"QF_NIA_small\604.smt2",0,1.15192267827529,1.328,1.527,0,1,0,
"QF_NIA_small\624.smt2",0,0.0869678829342455,0.109,0.231,1,0,0,
"QF_NIA_small\625.smt2",0,0.0775320208728653,0.078,0.18,1,0,0,
"QF_NIA_small\65.smt2",,1046,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.104290109389243,0.109,0.2,1,0,0,
"QF_NIA_small\673.smt2",0,24.5943268459069,29.297,30.474,1,0,0,
"QF_NIA_small\677.smt2",0,0.120519254403933,0.141,0.268,1,0,0,
"QF_NIA_small\701.smt2",0,0.0400745811197385,0.047,0.189,1,0,0,
"QF_NIA_small\706.smt2",0,0.0577007943512798,0.063,0.163,1,0,0,
"QF_NIA_small\707.smt2",0,0.0409446764091858,0.047,0.162,1,0,0,
"QF_NIA_small\709.smt2",0,0.05,0.063,0.176,1,0,0,
"QF_NIA_small\711.smt2",0,0.0407574812967581,0.047,0.155,1,0,0,
"QF_NIA_small\722.smt2",0,0.0543433083956775,0.063,0.165,1,0,0,
"QF_NIA_small\73.smt2",,854.575163398693,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.0629816955684008,0.063,0.167,1,0,0,
"QF_NIA_small\74.smt2",0,0.0528496362166532,0.063,0.191,1,0,0,
"QF_NIA_small\75.smt2",0,0.0620491647684131,0.078,0.23,1,0,0,
"QF_NIA_small\750.smt2",0,0.115656789031402,0.125,0.22,1,0,0,
"QF_NIA_small\781.smt2",0,0.0830334462320068,0.094,0.177,1,0,0,
"QF_NIA_small\788.smt2",0,0.0769117647058824,0.094,0.202,1,0,0,
"QF_NIA_small\798.smt2",0,0.0639176769651936,0.078,0.226,1,0,0,
"QF_NIA_small\808.smt2",0,0.0821293969849246,0.094,0.197,1,0,0,
"QF_NIA_small\821.smt2",0,0.0811775662251656,0.094,0.219,1,0,0,
"QF_NIA_small\824.smt2",0,0.103196527229676,0.125,0.229,1,0,0,
"QF_NIA_small\828.smt2",0,0.0938525430680886,0.109,0.207,1,0,0,
"QF_NIA_small\83.smt2",0,1.5965616966581,1.781,1.945,0,1,0,
"QF_NIA_small\841.smt2",0,0.116377392078327,0.125,0.215,1,0,0,
"QF_NIA_small\843.smt2",0,0.100931848257609,0.109,0.342,1,0,0,
"QF_NIA_small\849.smt2",0,0.0681841885690446,0.078,0.206,1,0,0,
"QF_NIA_small\866.smt2",0,39.5300460188356,44.141,45.973,1,0,0,
"QF_NIA_small\888.smt2",0,0.0541407867494824,0.063,0.161,1,0,0,
"QF_NIA_small\891.smt2",0,0.027584388185654,0.031,0.172,1,0,0,
"QF_NIA_small\909.smt2",0,0.0700846912521441,0.078,0.18,1,0,0,
"QF_NIA_small\93.smt2",0,24.9645489057615,26.719,27.812,1,0,0,
"QF_NIA_small\940.smt2",0,0.0612125468164794,0.063,0.162,1,0,0,
"QF_NIA_small\946.smt2",0,0.0760882216014898,0.078,0.177,1,0,0,
"QF_NIA_small\947.smt2",0,0.0683267140468227,0.078,0.176,1,0,0,
"QF_NIA_small\966.smt2",,852.485737571312,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,945.750452079566,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.131568649373882,0.141,0.261,1,0,0,
"QF_NIA_small\99.smt2",,941.070625281152,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.132936059647537,0.141,0.262,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,0.526529168480627,0.578,0.695,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0416047942299533,0.047,0.154,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0405552109181141,0.047,0.381,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0269254530477759,0.031,0.238,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0533673469387755,0.063,0.206,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,9.55848944875108,10.609,11.38,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0445941336971351,0.047,0.13,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.145796164139161,0.156,0.373,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.127796481320591,0.141,0.205,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0562123817712812,0.063,0.145,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0262129109863673,0.031,0.132,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.302026459470811,0.344,0.756,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,9.75483754139072,11.266,11.707,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.132278552158273,0.141,0.198,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0411681360201511,0.047,0.172,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.487042358450405,0.547,0.793,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.3467420212766,5.078,5.352,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,31.1756847777279,33.188,34.604,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0417464878671775,0.047,0.47,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0386529365392195,0.047,0.193,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0282886196451753,0.031,0.105,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.37773760330578,1.594,1.939,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,14.147906037415,15.906,16.767,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,17.1291788549937,19.594,20.371,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.0726792662590325,0.063,0.209,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,13.569592628516,13.375,13.852,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0269921552436003,0.031,0.096,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,20.0212618264089,23.266,24.222,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0525522508038585,0.063,0.305,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,8.51612985685072,9.953,10.439,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.641204690831556,0.719,0.886,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,28.1697154471545,31.469,33.064,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.729306113342258,0.781,1.145,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.0972842261904762,0.109,0.287,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.495479644867908,0.547,0.723,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.0538509060955519,0.063,0.191,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,8.77941018478728,9.766,10.369,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.165018931426167,0.188,0.386,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0476262748907236,0.047,0.38,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.0875949084412685,0.094,0.185,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0847924773022049,0.094,0.296,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0748854524627719,0.063,0.172,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.730881303520457,0.734,1.16,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.0288376709307455,0.031,0.098,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0510476314419572,0.047,0.211,1,0,0,
"QF_NIA_small\aproveSMT2271093326661303672.smt2",0,3.44569088319088,4.047,4.33,0,1,0,
"QF_NIA_small\aproveSMT2279546529930018049.smt2",0,84.5006648936174,83.531,86.868,1,0,0,
"QF_NIA_small\aproveSMT2313612983845754801.smt2",0,4.48798627002288,4.688,5.074,1,0,0,
"QF_NIA_small\aproveSMT2315623815142209104.smt2",0,2.04635675787728,2.359,2.634,0,1,0,
"QF_NIA_small\aproveSMT2316535250821506157.smt2",0,3.71069834183673,4.172,4.452,1,0,0,
"QF_NIA_small\aproveSMT2322179511678559502.smt2",0,0.067230563554093,0.078,0.163,1,0,0,
"QF_NIA_small\aproveSMT233295163504864559.smt2",0,13.4606600801832,11.234,11.716,0,1,0,
"QF_NIA_small\aproveSMT2355004445894478329.smt2",0,0.614587888062964,0.672,0.947,1,0,0,
"QF_NIA_small\aproveSMT2409578890815829527.smt2",0,0.0422137322427895,0.047,0.136,1,0,0,
"QF_NIA_small\aproveSMT2423766902024488209.smt2",0,0.138859388275276,0.156,0.462,1,0,0,
"QF_NIA_small\aproveSMT2477805317391230600.smt2",0,0.0566753359341136,0.063,0.112,1,0,0,
"QF_NIA_small\aproveSMT2493881658895874595.smt2",0,0.342766920877026,0.344,0.599,0,1,0,
"QF_NIA_small\aproveSMT2598777028614012130.smt2",0,8.26511866727522,8.656,9.065,1,0,0,
"QF_NIA_small\aproveSMT2631357328519238424.smt2",0,0.145630822195221,0.172,0.407,1,0,0,
"QF_NIA_small\aproveSMT2632098249079857042.smt2",0,0.0416932397959184,0.047,0.253,1,0,0,
"QF_NIA_small\aproveSMT2807471946702649636.smt2",0,0.242929397192403,0.281,0.597,1,0,0,
"QF_NIA_small\aproveSMT2844713893974801294.smt2",0,0.0450034419458467,0.047,0.26,1,0,0,
"QF_NIA_small\aproveSMT2846862246352958329.smt2",0,0.131049541809851,0.109,0.285,1,0,0,
"QF_NIA_small\aproveSMT2880696731965229413.smt2",0,12.8492876455907,14.766,15.519,1,0,0,
"QF_NIA_small\aproveSMT2881315380892242955.smt2",0,0.0410819019689987,0.047,0.292,0,1,0,
"QF_NIA_small\aproveSMT2912633883485370336.smt2",0,1.6610969951392,1.797,2.009,1,0,0,
"QF_NIA_small\aproveSMT2926330432023427683.smt2",0,0.129135802469136,0.125,0.245,1,0,0,
"QF_NIA_small\aproveSMT2934397244559601587.smt2",0,0.0525733815842381,0.063,0.112,1,0,0,
"QF_NIA_small\aproveSMT2958125353683346121.smt2",0,0.381354166666667,0.438,0.573,1,0,0,
"QF_NIA_small\aproveSMT2992043958700127833.smt2",0,0.0467409437559581,0.047,0.186,1,0,0,
"QF_NIA_small\aproveSMT3033966919233248917.smt2",0,8.8193546705588,10.109,10.547,0,1,0,
"QF_NIA_small\aproveSMT3039391242675517681.smt2",0,0.563126001602564,0.672,0.977,0,1,0,
"QF_NIA_small\aproveSMT3057256999514663885.smt2",0,8.99116323907459,8.359,8.723,1,0,0,
"QF_NIA_small\aproveSMT3060102017506592639.smt2",0,9.72707612456747,10.75,11.216,1,0,0,
"QF_NIA_small\aproveSMT3082703823983150903.smt2",0,0.0773058730784391,0.094,0.46,0,1,0,
"QF_NIA_small\aproveSMT3090147554356497231.smt2",0,0.0648883374689825,0.063,0.145,1,0,0,
"QF_NIA_small\aproveSMT3101880129747917873.smt2",0,2.63971219931271,2.203,2.39,1,0,0,
"QF_NIA_small\aproveSMT325795488857285297.smt2",0,1.24750113584734,1.313,1.604,1,0,0,
"QF_NIA_small\aproveSMT3264265901512371238.smt2",0,0.041924967935015,0.047,0.189,1,0,0,
"QF_NIA_small\aproveSMT3305912493296657311.smt2",0,0.0598398169336384,0.063,0.108,1,0,0,
"QF_NIA_small\aproveSMT3306677380446705919.smt2",0,0.0580595026642984,0.063,0.166,1,0,0,
"QF_NIA_small\aproveSMT3320813910319868151.smt2",,887.945670628183,1000,1000,0,0,0,
"QF_NIA_small\aproveSMT3334656614075774306.smt2",0,0.123504408060453,0.141,0.208,1,0,0,
"QF_NIA_small\aproveSMT334180970798087384.smt2",0,1.26351109520401,1.688,2.065,1,0,0,
"QF_NIA_small\aproveSMT3342367565143444747.smt2",0,0.0498285060975609,0.047,0.111,1,0,0,
"QF_NIA_small\aproveSMT3400215009548742987.smt2",0,1.67999556933983,1.813,2.441,0,1,0,
"QF_NIA_small\aproveSMT3417012265546351137.smt2",0,0.221704111911827,0.25,0.395,1,0,0,
"QF_NIA_small\aproveSMT342988194676879281.smt2",0,4.18500106337729,4.703,4.987,1,0,0,
"QF_NIA_small\aproveSMT3496695621216907819.smt2",0,8.74134364111498,9.594,9.927,0,1,0,
"QF_NIA_small\aproveSMT3571876635740058861.smt2",0,12.3457956503015,13.703,14.368,0,1,0,
"QF_NIA_small\aproveSMT3611058756933534688.smt2",0,0.0275495153813738,0.031,0.151,1,0,0,
"QF_NIA_small\aproveSMT3612851711724526218.smt2",0,1.02397782750203,1.203,1.56,1,0,0,
