,"enable_gcd=false","-file:{0} smt.arith.enable_gcd=false",,,,,,
,"RV 11679","T_norm 11679","T_cpu 11679","T_wc 11679","# SAT 11679","# UNSAT 11679","# UNKNOWN 11679",
"QF_NIA_small\625.smt2",0,0.27290120593692,0.281,0.514,1,0,0,
"QF_NIA_small\65.smt2",,1007.70712909441,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.160429447852761,0.188,0.432,1,0,0,
"QF_NIA_small\673.smt2",0,24.752197063689,28.609,29.771,1,0,0,
"QF_NIA_small\677.smt2",0,0.484681639773223,0.531,0.727,1,0,0,
"QF_NIA_small\701.smt2",0,0.0450862068965517,0.047,0.17,1,0,0,
"QF_NIA_small\706.smt2",0,0.0801491622394769,0.094,0.44,1,0,0,
"QF_NIA_small\707.smt2",0,0.0704775765416127,0.078,0.225,1,0,0,
"QF_NIA_small\709.smt2",0,0.0423230470435908,0.047,0.204,1,0,0,
"QF_NIA_small\711.smt2",0,0.115147512109203,0.125,0.204,1,0,0,
"QF_NIA_small\722.smt2",0,0.0540959867604468,0.063,0.173,1,0,0,
"QF_NIA_small\73.smt2",,983.082706766917,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.070538411739318,0.078,0.196,1,0,0,
"QF_NIA_small\74.smt2",0,0.0569220722681759,0.063,0.151,1,0,0,
"QF_NIA_small\75.smt2",0,0.0827880962431405,0.094,0.228,1,0,0,
"QF_NIA_small\750.smt2",0,0.260185379136992,0.297,0.617,1,0,0,
"QF_NIA_small\781.smt2",0,0.0927117098865478,0.109,0.224,1,0,0,
"QF_NIA_small\788.smt2",0,0.0714012669287898,0.078,0.241,1,0,0,
"QF_NIA_small\798.smt2",0,0.193799407114624,0.188,0.291,1,0,0,
"QF_NIA_small\808.smt2",0,0.0958577712609971,0.109,0.394,1,0,0,
"QF_NIA_small\821.smt2",0,0.360391400220507,0.469,0.623,1,0,0,
"QF_NIA_small\824.smt2",0,0.235860568760611,0.266,0.524,1,0,0,
"QF_NIA_small\828.smt2",0,0.0723494909251881,0.078,0.21,1,0,0,
"QF_NIA_small\83.smt2",0,1.60869003308519,1.859,2.069,0,1,0,
"QF_NIA_small\841.smt2",0,0.0846095772217429,0.094,0.306,1,0,0,
"QF_NIA_small\843.smt2",0,0.2615,0.25,0.448,1,0,0,
"QF_NIA_small\849.smt2",0,0.0685559983221476,0.078,0.244,1,0,0,
"QF_NIA_small\866.smt2",0,40.0389631740465,43.656,45.419,1,0,0,
"QF_NIA_small\888.smt2",0,0.0987111734253667,0.109,0.233,1,0,0,
"QF_NIA_small\891.smt2",0,0.0520225464190981,0.047,0.117,1,0,0,
"QF_NIA_small\909.smt2",0,0.0560677530017153,0.063,0.166,1,0,0,
"QF_NIA_small\93.smt2",0,23.332276938079,22.875,23.814,1,0,0,
"QF_NIA_small\940.smt2",0,0.123400796979866,0.141,0.31,1,0,0,
"QF_NIA_small\946.smt2",0,0.0562849763237193,0.063,0.205,1,0,0,
"QF_NIA_small\947.smt2",0,0.0557094162760971,0.063,0.186,1,0,0,
"QF_NIA_small\966.smt2",,900.559621179509,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,899.398108340499,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.11310553633218,0.125,0.232,1,0,0,
"QF_NIA_small\99.smt2",,881.956155143339,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.278547081380486,0.313,0.494,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,1.16216285247242,1.359,1.718,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.040521694214876,0.047,0.18,1,0,0,
