,"smt.arith.nl.horner=false","-file:{0} smt.arith.nl.horner=false",,,,,,
,"RV 11687","T_norm 11687","T_cpu 11687","T_wc 11687","# SAT 11687","# UNSAT 11687","# UNKNOWN 11687",
"QF_NIA_small\1768.smt2",0,0.058448815377738,0.063,0.171,1,0,0,
"QF_NIA_small\177.smt2",,941.070625281152,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.0664650264335096,0.078,0.222,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0425249349522984,0.047,0.169,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0558760683760684,0.063,0.171,1,0,0,
"QF_NIA_small\179.smt2",0,0.057021369385085,0.063,0.174,1,0,0,
"QF_NIA_small\1794.smt2",0,0.0980344901456727,0.109,0.185,1,0,0,
"QF_NIA_small\1805.smt2",0,0.304271941489362,0.328,0.516,0,1,0,
"QF_NIA_small\1809.smt2",0,0.60952406764961,0.672,0.844,0,1,0,
"QF_NIA_small\181.smt2",,907.986111111111,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,877.148846960168,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,901.724137931034,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,894.017094017094,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0982871563573883,0.109,0.179,1,0,0,
"QF_NIA_small\1852.smt2",0,0.0785757211538461,0.078,0.202,1,0,0,
"QF_NIA_small\1858.smt2",0,0.0722854931446263,0.078,0.173,1,0,0,
"QF_NIA_small\187.smt2",0,0.0488602391629297,0.047,0.375,1,0,0,
"QF_NIA_small\1884.smt2",0,0.180901447424436,0.203,0.389,1,0,0,
"QF_NIA_small\1895.smt2",0,83.0518814781433,88.094,91.546,1,0,0,
"QF_NIA_small\1898.smt2",0,69.7304200089127,74.797,77.789,1,0,0,
"QF_NIA_small\1901.smt2",0,144.332344789357,155.578,161.849,1,0,0,
"QF_NIA_small\1917.smt2",0,0.172039473684211,0.188,0.296,1,0,0,
"QF_NIA_small\192.smt2",0,0.0411335989932886,0.047,0.13,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0438562164579606,0.047,0.191,1,0,0,
"QF_NIA_small\1933.smt2",0,1.09725963530874,1.266,1.395,1,0,0,
"QF_NIA_small\1934.smt2",0,1.22259042334566,1.422,1.646,0,1,0,
"QF_NIA_small\199.smt2",0,0.132636384129847,0.141,0.269,1,0,0,
"QF_NIA_small\20.smt2",0,1.76834016393443,2.063,2.314,1,0,0,
"QF_NIA_small\203.smt2",0,7.38591978160437,8.406,8.696,1,0,0,
"QF_NIA_small\211.smt2",0,13.8633056133056,15.938,16.617,1,0,0,
"QF_NIA_small\23.smt2",0,7.54535329465396,8.703,9.043,1,0,0,
"QF_NIA_small\250.smt2",0,0.0400745811197385,0.047,0.166,1,0,0,
"QF_NIA_small\257.smt2",0,0.0547758692919983,0.063,0.271,1,0,0,
"QF_NIA_small\264.smt2",0,0.122018871837412,0.141,0.228,1,0,0,
"QF_NIA_small\269.smt2",0,0.107879537953795,0.125,0.236,1,0,0,
"QF_NIA_small\281.smt2",0,0.0537181594083813,0.063,0.17,1,0,0,
"QF_NIA_small\307.smt2",0,55.8677564387211,60.141,62.566,1,0,0,
"QF_NIA_small\310.smt2",0,210.514835994821,233.156,242.441,1,0,0,
"QF_NIA_small\322.smt2",0,0.101784919928826,0.109,0.181,1,0,0,
"QF_NIA_small\34.smt2",0,46.4476021314387,50,52.019,1,0,0,
"QF_NIA_small\35.smt2",,909.169926119079,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0731263982102908,0.063,0.168,1,0,0,
"QF_NIA_small\364.smt2",0,0.0922507055503293,0.094,0.179,1,0,0,
"QF_NIA_small\367.smt2",0,0.0559238665526091,0.063,0.17,1,0,0,
"QF_NIA_small\370.smt2",0,0.0554966044142615,0.063,0.164,1,0,0,
"QF_NIA_small\377.smt2",0,0.057145979020979,0.063,0.166,1,0,0,
"QF_NIA_small\40.smt2",,958.31424644984,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.11104033970276,0.125,0.235,1,0,0,
"QF_NIA_small\424.smt2",0,23.8842754255783,26.156,27.266,1,0,0,
"QF_NIA_small\443.smt2",0,0.0838141025641026,0.094,0.2,1,0,0,
"QF_NIA_small\449.smt2",0,0.235860568760611,0.266,0.432,1,0,0,
"QF_NIA_small\455.smt2",0,0.0832095884599067,0.094,0.204,1,0,0,
"QF_NIA_small\460.smt2",0,0.238083761782348,0.266,0.445,1,0,0,
"QF_NIA_small\466.smt2",0,0.109114210777301,0.109,0.199,1,0,0,
"QF_NIA_small\485.smt2",0,33.6849674837419,32.188,33.504,1,0,0,
"QF_NIA_small\496.smt2",0,0.0307069046500705,0.031,0.174,1,0,0,
"QF_NIA_small\498.smt2",0,0.109689597315436,0.109,0.178,1,0,0,
"QF_NIA_small\500.smt2",0,0.0817528136723635,0.094,0.213,1,0,0,
"QF_NIA_small\507.smt2",0,0.0680705955851728,0.078,0.168,1,0,0,
"QF_NIA_small\514.smt2",0,0.0993972632493484,0.109,0.225,1,0,0,
"QF_NIA_small\520.smt2",0,0.0546613712374582,0.063,0.174,1,0,0,
"QF_NIA_small\527.smt2",0,0.0970366836301951,0.109,0.222,1,0,0,
"QF_NIA_small\535.smt2",0,0.105104501607717,0.125,0.235,1,0,0,
"QF_NIA_small\54.smt2",,903.671706263499,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.112279948475741,0.125,0.237,1,0,0,
"QF_NIA_small\551.smt2",0,0.059785093735711,0.063,0.174,1,0,0,
"QF_NIA_small\572.smt2",0,198.908433406114,217.734,226.414,1,0,0,
"QF_NIA_small\573.smt2",0,0.949368856121537,1.016,1.256,1,0,0,
