,"smt.arith.gomory_use_closest_int=false","-file:{0} smt.arith.gomory_use_closest_int=false",,,,,,
,"RV 11690","T_norm 11690","T_cpu 11690","T_wc 11690","# SAT 11690","# UNSAT 11690","# UNKNOWN 11690",
"QF_NIA_small\185.smt2",,824.271079590229,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0667091836734694,0.078,0.248,1,0,0,
"QF_NIA_small\1852.smt2",0,0.0399277280130293,0.047,0.178,1,0,0,
"QF_NIA_small\1858.smt2",0,0.0718090949033392,0.078,0.175,1,0,0,
"QF_NIA_small\187.smt2",0,0.0529352226720648,0.063,0.185,1,0,0,
"QF_NIA_small\1884.smt2",0,0.17344387755102,0.203,0.411,1,0,0,
"QF_NIA_small\1895.smt2",0,71.6420012290045,83.594,87.042,1,0,0,
"QF_NIA_small\1898.smt2",0,70.5516206819201,75.172,78.22,1,0,0,
"QF_NIA_small\1901.smt2",0,143.63143765638,164.641,171.315,1,0,0,
"QF_NIA_small\1917.smt2",0,0.186131187034604,0.203,0.377,1,0,0,
"QF_NIA_small\192.smt2",0,0.0428969816272966,0.047,0.171,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0834219481071884,0.094,0.164,1,0,0,
"QF_NIA_small\1933.smt2",0,1.07238891196013,1.234,1.42,1,0,0,
"QF_NIA_small\1934.smt2",0,1.28750579240037,1.328,1.516,0,1,0,
"QF_NIA_small\199.smt2",0,0.145454085760518,0.172,0.281,1,0,0,
"QF_NIA_small\20.smt2",0,1.79263067694944,2,2.127,1,0,0,
"QF_NIA_small\203.smt2",0,6.65803336259877,7.25,7.512,1,0,0,
"QF_NIA_small\211.smt2",0,12.8549879807692,12.781,13.3,1,0,0,
"QF_NIA_small\23.smt2",0,6.93680338831922,7.438,7.794,1,0,0,
"QF_NIA_small\250.smt2",0,0.0575737560546015,0.063,0.189,1,0,0,
"QF_NIA_small\257.smt2",0,0.0427287581699346,0.047,0.154,1,0,0,
"QF_NIA_small\264.smt2",0,0.0936988124488125,0.109,0.224,1,0,0,
"QF_NIA_small\269.smt2",0,0.105297975149563,0.109,0.199,1,0,0,
"QF_NIA_small\281.smt2",0,0.0547071129707113,0.063,0.199,1,0,0,
"QF_NIA_small\307.smt2",0,63.0904739109622,63,65.487,1,0,0,
"QF_NIA_small\310.smt2",0,211.040469208211,172,179.003,1,0,0,
"QF_NIA_small\322.smt2",0,0.057853982300885,0.063,0.205,1,0,0,
"QF_NIA_small\34.smt2",0,45.7653033876501,51.016,53.113,1,0,0,
"QF_NIA_small\35.smt2",,952.64116575592,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0546842325386867,0.063,0.166,1,0,0,
"QF_NIA_small\364.smt2",0,0.0572711344721857,0.063,0.158,1,0,0,
"QF_NIA_small\367.smt2",0,0.0580852954242559,0.063,0.177,1,0,0,
"QF_NIA_small\370.smt2",0,0.0820263488080301,0.094,0.199,1,0,0,
"QF_NIA_small\377.smt2",0,0.0555673608159796,0.063,0.171,1,0,0,
"QF_NIA_small\40.smt2",,898.239587805925,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.133418367346939,0.141,0.262,1,0,0,
"QF_NIA_small\424.smt2",0,23.541774611399,26.063,27.175,1,0,0,
"QF_NIA_small\443.smt2",0,0.107322936210131,0.109,0.209,1,0,0,
"QF_NIA_small\449.smt2",0,0.220662691269127,0.234,0.456,1,0,0,
"QF_NIA_small\455.smt2",0,0.0850130039011704,0.094,0.202,1,0,0,
"QF_NIA_small\460.smt2",0,0.237574818298418,0.266,0.488,1,0,0,
"QF_NIA_small\466.smt2",0,0.109827803443931,0.125,0.213,1,0,0,
"QF_NIA_small\485.smt2",0,32.1279227557411,36.781,38.265,1,0,0,
"QF_NIA_small\496.smt2",0,0.0283499566348656,0.031,0.212,1,0,0,
"QF_NIA_small\498.smt2",0,0.0913909599254427,0.094,0.195,1,0,0,
"QF_NIA_small\500.smt2",0,0.0870892539964476,0.094,0.137,1,0,0,
"QF_NIA_small\507.smt2",0,0.0452944572748268,0.047,0.152,1,0,0,
"QF_NIA_small\514.smt2",0,0.0988818063958513,0.109,0.218,1,0,0,
"QF_NIA_small\520.smt2",0,0.0810099132589839,0.094,0.164,1,0,0,
"QF_NIA_small\527.smt2",0,0.126352918438346,0.156,0.217,1,0,0,
"QF_NIA_small\535.smt2",0,0.120865858668858,0.141,0.383,1,0,0,
"QF_NIA_small\54.smt2",,832.471150019897,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.17340848806366,0.188,0.248,1,0,0,
"QF_NIA_small\551.smt2",0,0.0400255102040816,0.047,0.271,1,0,0,
"QF_NIA_small\572.smt2",0,235.603494897959,275.922,286.947,1,0,0,
"QF_NIA_small\573.smt2",0,0.891719258957654,1.047,1.289,1,0,0,
"QF_NIA_small\574.smt2",0,0.838499358700299,0.938,1.138,1,0,0,
"QF_NIA_small\58.smt2",,949.614162505674,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,8.24466093117409,9.734,10.219,1,0,0,
"QF_NIA_small\586.smt2",0,9.48845486111111,9.797,10.219,0,1,0,
"QF_NIA_small\599.smt2",0,0.181674861051732,0.203,0.395,1,0,0,
"QF_NIA_small\604.smt2",0,1.2273153942428,1.406,1.617,0,1,0,
"QF_NIA_small\624.smt2",0,0.103488240615106,0.109,0.215,1,0,0,
"QF_NIA_small\625.smt2",0,0.25738188976378,0.281,0.47,1,0,0,
"QF_NIA_small\65.smt2",,897.468897468897,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.172109153503443,0.203,0.243,1,0,0,
"QF_NIA_small\673.smt2",0,26.9338010691103,33.719,35.084,1,0,0,
"QF_NIA_small\677.smt2",0,0.473535802980132,0.547,0.732,1,0,0,
"QF_NIA_small\701.smt2",0,0.0523,0.063,0.169,1,0,0,
"QF_NIA_small\706.smt2",0,0.0897655943507258,0.109,0.213,1,0,0,
"QF_NIA_small\707.smt2",0,0.100499615680246,0.125,0.249,1,0,0,
"QF_NIA_small\709.smt2",0,0.0407236295681063,0.047,0.196,1,0,0,
"QF_NIA_small\711.smt2",0,0.0845730918499353,0.094,0.202,1,0,0,
"QF_NIA_small\722.smt2",0,0.0519055180627233,0.063,0.19,1,0,0,
"QF_NIA_small\73.smt2",,902.502157031924,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.0669551413355182,0.078,0.134,1,0,0,
"QF_NIA_small\74.smt2",0,0.0907986111111111,0.094,0.195,1,0,0,
"QF_NIA_small\75.smt2",0,0.095298833819242,0.109,0.205,1,0,0,
"QF_NIA_small\750.smt2",0,0.259858786610879,0.297,0.475,1,0,0,
"QF_NIA_small\781.smt2",0,0.0761946386946387,0.078,0.196,1,0,0,
"QF_NIA_small\788.smt2",0,0.0672859201317415,0.078,0.201,1,0,0,
"QF_NIA_small\798.smt2",0,0.185460992907801,0.188,0.392,1,0,0,
"QF_NIA_small\808.smt2",0,0.0791145623235175,0.094,0.192,1,0,0,
"QF_NIA_small\821.smt2",0,0.330612357080035,0.359,0.561,1,0,0,
"QF_NIA_small\824.smt2",0,0.253391472868217,0.234,0.399,1,0,0,
"QF_NIA_small\828.smt2",0,0.103254738267148,0.109,0.193,1,0,0,
"QF_NIA_small\83.smt2",0,1.73919239904988,1.75,2.021,0,1,0,
"QF_NIA_small\841.smt2",0,0.0817869057547957,0.094,0.22,1,0,0,
"QF_NIA_small\843.smt2",0,0.24598826914564,0.266,0.451,1,0,0,
