,"smt.arith.gomory_polarity=false","-file:{0} smt.arith.gomory_polarity=false",,,,,,
,"RV 11688","T_norm 11688","T_cpu 11688","T_wc 11688","# SAT 11688","# UNSAT 11688","# UNKNOWN 11688",
"QF_NIA_small\1898.smt2",0,68.5767674180328,79.984,83.226,1,0,0,
"QF_NIA_small\1901.smt2",0,152.978101979742,158.828,165.218,1,0,0,
"QF_NIA_small\1917.smt2",0,0.192846607669617,0.219,0.416,1,0,0,
"QF_NIA_small\192.smt2",0,0.0646636993076162,0.063,0.177,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0313398849472675,0.031,0.178,1,0,0,
"QF_NIA_small\1933.smt2",0,1.12958963282937,1.25,1.446,1,0,0,
"QF_NIA_small\1934.smt2",0,1.32395300825796,1.609,1.809,0,1,0,
"QF_NIA_small\199.smt2",0,0.132405063291139,0.125,0.254,1,0,0,
"QF_NIA_small\20.smt2",0,1.80500431406385,2,2.207,1,0,0,
"QF_NIA_small\203.smt2",0,6.76600090785293,7.125,7.463,1,0,0,
"QF_NIA_small\211.smt2",0,14.6788259345794,15.016,15.635,1,0,0,
"QF_NIA_small\23.smt2",0,7.53981693363844,7.875,8.211,1,0,0,
"QF_NIA_small\250.smt2",0,0.062679769894535,0.063,0.17,1,0,0,
"QF_NIA_small\257.smt2",0,0.0405887831125828,0.047,0.157,1,0,0,
"QF_NIA_small\264.smt2",0,0.0892288444040036,0.094,0.24,1,0,0,
"QF_NIA_small\269.smt2",0,0.122025198320112,0.125,0.222,1,0,0,
"QF_NIA_small\281.smt2",0,0.057396839332748,0.063,0.205,1,0,0,
"QF_NIA_small\307.smt2",0,55.3945952868852,64.609,67.222,1,0,0,
"QF_NIA_small\310.smt2",0,200.987017562879,221.547,230.591,1,0,0,
"QF_NIA_small\322.smt2",0,0.0572210065645514,0.063,0.196,1,0,0,
"QF_NIA_small\34.smt2",0,48.7867051122195,56.109,58.354,1,0,0,
"QF_NIA_small\35.smt2",,911.944202266783,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0566507798960139,0.063,0.195,1,0,0,
"QF_NIA_small\364.smt2",0,0.0568478260869565,0.063,0.162,1,0,0,
"QF_NIA_small\367.smt2",0,0.0697556551429791,0.078,0.194,1,0,0,
"QF_NIA_small\370.smt2",0,0.0537844508432744,0.063,0.17,1,0,0,
"QF_NIA_small\377.smt2",0,0.0796091086215297,0.078,0.225,1,0,0,
"QF_NIA_small\40.smt2",,897.084048027444,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.100488581466842,0.109,0.24,1,0,0,
"QF_NIA_small\424.smt2",0,25.6310636287274,29.172,30.345,1,0,0,
"QF_NIA_small\443.smt2",0,0.0700246358183376,0.078,0.192,1,0,0,
"QF_NIA_small\449.smt2",0,0.244850187265918,0.281,0.484,1,0,0,
"QF_NIA_small\455.smt2",0,0.0805772391125719,0.094,0.208,1,0,0,
"QF_NIA_small\460.smt2",0,0.23387521043771,0.266,0.449,1,0,0,
"QF_NIA_small\466.smt2",0,0.112931861804223,0.141,0.244,1,0,0,
"QF_NIA_small\485.smt2",0,31.3478483606557,36.563,38.074,1,0,0,
"QF_NIA_small\496.smt2",0,0.0291073018699911,0.031,0.176,1,0,0,
"QF_NIA_small\498.smt2",0,0.0699048331907613,0.078,0.198,1,0,0,
"QF_NIA_small\500.smt2",0,0.100136761487965,0.109,0.211,1,0,0,
"QF_NIA_small\507.smt2",0,0.0417998721227621,0.047,0.172,1,0,0,
"QF_NIA_small\514.smt2",0,0.0940840871710527,0.109,0.23,1,0,0,
"QF_NIA_small\520.smt2",0,0.0527430415490117,0.063,0.171,1,0,0,
"QF_NIA_small\527.smt2",0,0.115554573574901,0.125,0.223,1,0,0,
"QF_NIA_small\535.smt2",0,0.171338089691322,0.141,0.251,1,0,0,
"QF_NIA_small\54.smt2",,821.036106750393,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.123764198569626,0.141,0.282,1,0,0,
"QF_NIA_small\551.smt2",0,0.0664380081300813,0.078,0.239,1,0,0,
"QF_NIA_small\572.smt2",0,211.238721413721,242.844,252.569,1,0,0,
"QF_NIA_small\573.smt2",0,1.12295633278146,1.297,1.546,1,0,0,
"QF_NIA_small\574.smt2",0,0.885725806451613,0.984,1.147,1,0,0,
"QF_NIA_small\58.smt2",,868.410128684101,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,7.73803307223673,8.5,8.822,1,0,0,
"QF_NIA_small\586.smt2",0,9.38290870488323,10.563,11.013,0,1,0,
"QF_NIA_small\599.smt2",0,0.167199488491049,0.188,0.231,1,0,0,
"QF_NIA_small\604.smt2",0,1.25278083700441,1.359,1.542,0,1,0,
"QF_NIA_small\624.smt2",0,0.084427464485579,0.094,0.161,1,0,0,
"QF_NIA_small\625.smt2",0,0.243722587719298,0.266,0.447,1,0,0,
"QF_NIA_small\65.smt2",,867.689755288262,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.149880158399333,0.172,0.226,1,0,0,
"QF_NIA_small\673.smt2",0,27.9046661524901,30.266,31.484,1,0,0,
"QF_NIA_small\677.smt2",0,0.468955990694068,0.578,0.773,1,0,0,
"QF_NIA_small\701.smt2",0,0.0425433839479393,0.047,0.16,1,0,0,
"QF_NIA_small\706.smt2",0,0.0967085798816568,0.094,0.209,1,0,0,
"QF_NIA_small\707.smt2",0,0.10595623987034,0.125,0.245,1,0,0,
"QF_NIA_small\709.smt2",0,0.0451900921658986,0.047,0.201,1,0,0,
"QF_NIA_small\711.smt2",0,0.0988390928725702,0.109,0.383,1,0,0,
"QF_NIA_small\722.smt2",0,0.0470323741007194,0.047,0.172,1,0,0,
"QF_NIA_small\73.smt2",,885.690093141406,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.0409446764091858,0.047,0.188,1,0,0,
"QF_NIA_small\74.smt2",0,0.0602534562211981,0.063,0.239,1,0,0,
"QF_NIA_small\75.smt2",0,0.0810701884920635,0.078,0.174,1,0,0,
"QF_NIA_small\750.smt2",0,0.282397408207343,0.313,0.578,1,0,0,
"QF_NIA_small\781.smt2",0,0.0580595026642984,0.063,0.185,1,0,0,
"QF_NIA_small\788.smt2",0,0.0763369920597851,0.078,0.203,1,0,0,
"QF_NIA_small\798.smt2",0,0.154113625648279,0.156,0.268,1,0,0,
"QF_NIA_small\808.smt2",0,0.107055131004367,0.094,0.179,1,0,0,
"QF_NIA_small\821.smt2",0,0.321347817538341,0.391,0.654,1,0,0,
"QF_NIA_small\824.smt2",0,0.231435434929198,0.328,0.565,1,0,0,
"QF_NIA_small\828.smt2",0,0.0807497529644266,0.078,0.229,1,0,0,
"QF_NIA_small\83.smt2",0,1.65282167042889,1.75,1.995,0,1,0,
"QF_NIA_small\841.smt2",0,0.102831301612269,0.125,0.287,1,0,0,
"QF_NIA_small\843.smt2",0,0.253609913793103,0.281,0.438,1,0,0,
"QF_NIA_small\849.smt2",0,0.0788917940466613,0.094,0.231,1,0,0,
"QF_NIA_small\866.smt2",0,38.3449519230769,42.891,44.61,1,0,0,
"QF_NIA_small\888.smt2",0,0.106177494199536,0.109,0.295,1,0,0,
"QF_NIA_small\891.smt2",0,0.0428782247485789,0.047,0.22,1,0,0,
"QF_NIA_small\909.smt2",0,0.0289014146772767,0.031,0.161,1,0,0,
"QF_NIA_small\93.smt2",0,21.129725743007,23.109,24.109,1,0,0,
"QF_NIA_small\940.smt2",0,0.125721153846154,0.141,0.245,1,0,0,
"QF_NIA_small\946.smt2",0,0.0560197086546701,0.063,0.177,1,0,0,
"QF_NIA_small\947.smt2",0,0.0709672166739036,0.078,0.19,1,0,0,
"QF_NIA_small\966.smt2",,863.036303630363,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,878.622427551449,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.12582869974337,0.141,0.27,1,0,0,
"QF_NIA_small\99.smt2",,913.93621668851,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.302662037037037,0.281,0.466,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,1.25042191719172,1.328,1.664,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0426729765013055,0.047,0.481,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0276193493874102,0.031,0.15,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.0275031552376946,0.031,0.146,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0726711871943086,0.078,0.182,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,9.57911631419939,10.609,11.042,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0413940481215703,0.047,0.107,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.176292134831461,0.188,0.439,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.131433453960595,0.156,0.398,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0442920054200542,0.047,0.147,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0504956230690013,0.047,0.175,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.27144340034965,0.297,0.49,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,9.79395633096531,11.203,11.629,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.118290108564536,0.141,0.264,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.0266184853420195,0.031,1.374,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.581369497554469,0.625,0.783,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.44580572876072,5.453,5.778,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,35.2172282608696,38.719,40.318,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0409788967822816,0.047,0.155,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.0407067247820672,0.047,0.165,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0549369747899159,0.063,0.144,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.21937261551505,1.375,1.717,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,14.1272787905736,15.188,15.789,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,15.6832545141875,17.438,18.41,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.0414640591966173,0.047,0.193,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,5.819003343084,6.656,6.951,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0133200896495517,0.016,1.238,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,21.6376619552415,26.344,27.468,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0686712184873949,0.078,0.433,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.85785626029654,2.156,2.468,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.651537232042121,0.828,1.002,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,29.288578539823,31.641,32.998,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.702956989247312,0.875,1.03,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.1025145609319,0.109,0.482,1,0,0,
"QF_NIA_small\aproveSMT2059890911796961568.smt2",0,0.457264730818143,0.516,0.827,1,0,0,
"QF_NIA_small\aproveSMT2080970443407093756.smt2",0,0.067258230452675,0.063,0.133,1,0,0,
"QF_NIA_small\aproveSMT2121292005079447352.smt2",0,9.74865088105726,10.578,11.021,1,0,0,
"QF_NIA_small\aproveSMT2123657877861531207.smt2",0,0.171964050854888,0.188,0.449,1,0,0,
"QF_NIA_small\aproveSMT2142784755099170345.smt2",0,0.0567737733391229,0.063,0.112,1,0,0,
"QF_NIA_small\aproveSMT2158114964317463984.smt2",0,0.0972015717926933,0.109,0.3,1,0,0,
"QF_NIA_small\aproveSMT2180393309678538513.smt2",0,0.0942002881844381,0.109,0.424,1,0,0,
"QF_NIA_small\aproveSMT2180870078806303650.smt2",0,0.0685559983221476,0.078,0.184,1,0,0,
"QF_NIA_small\aproveSMT2200431342265122737.smt2",0,0.596858003108003,0.734,0.903,1,0,0,
"QF_NIA_small\aproveSMT2217993778086906389.smt2",0,0.0261082268370607,0.031,0.165,1,0,0,
"QF_NIA_small\aproveSMT2256159023721325971.smt2",0,0.0523418734987991,0.063,0.107,1,0,0,
