,"smt.arith.gomory_use_big_cuts=false","-file:{0} smt.arith.gomory_use_big_cuts=false",,,,,,
,"RV 11689","T_norm 11689","T_cpu 11689","T_wc 11689","# SAT 11689","# UNSAT 11689","# UNKNOWN 11689",
"QF_NIA_small\1768.smt2",0,0.0663840373679935,0.078,0.177,1,0,0,
"QF_NIA_small\177.smt2",,895.93147751606,1000,1000,0,0,0,
"QF_NIA_small\1775.smt2",0,0.0661958282705549,0.078,0.201,1,0,0,
"QF_NIA_small\1776.smt2",0,0.0535860655737705,0.063,0.212,1,0,0,
"QF_NIA_small\1785.smt2",0,0.0786892152142513,0.078,0.158,1,0,0,
"QF_NIA_small\179.smt2",0,0.0523,0.063,0.179,1,0,0,
"QF_NIA_small\1794.smt2",0,0.0688157894736842,0.078,0.235,1,0,0,
"QF_NIA_small\1805.smt2",0,0.325600909484625,0.359,0.561,0,1,0,
"QF_NIA_small\1809.smt2",0,0.636393805309735,0.516,0.672,0,1,0,
"QF_NIA_small\181.smt2",,861.259777686291,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,965.835641735919,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,897.084048027444,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,878.991596638655,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0540289256198347,0.063,0.189,1,0,0,
"QF_NIA_small\1852.smt2",0,0.069785439795047,0.078,0.184,1,0,0,
"QF_NIA_small\1858.smt2",0,0.0684698366149979,0.078,0.191,1,0,0,
"QF_NIA_small\187.smt2",0,0.0514358772619984,0.063,0.177,1,0,0,
"QF_NIA_small\1884.smt2",0,0.190756565235515,0.219,0.442,1,0,0,
"QF_NIA_small\1895.smt2",0,71.9940079535684,80.047,83.327,1,0,0,
"QF_NIA_small\1898.smt2",0,68.6706532921811,79.766,83.017,1,0,0,
"QF_NIA_small\1901.smt2",0,165.090953307393,182.531,189.643,1,0,0,
"QF_NIA_small\1917.smt2",0,0.193593394077449,0.203,0.385,1,0,0,
"QF_NIA_small\192.smt2",0,0.0410475094181666,0.047,0.172,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0565772392903505,0.063,0.16,1,0,0,
"QF_NIA_small\1933.smt2",0,1.02527858027239,1.188,1.371,1,0,0,
"QF_NIA_small\1934.smt2",0,1.18147590361446,1.219,1.401,0,1,0,
"QF_NIA_small\199.smt2",0,0.138038429054054,0.156,0.288,1,0,0,
"QF_NIA_small\20.smt2",0,1.92747928849903,1.891,2.055,1,0,0,
"QF_NIA_small\203.smt2",0,6.85186157796452,7.016,7.276,1,0,0,
"QF_NIA_small\211.smt2",0,12.902282137224,15.641,16.355,1,0,0,
"QF_NIA_small\23.smt2",0,6.74037872601061,7.891,8.274,1,0,0,
"QF_NIA_small\250.smt2",0,0.0547071129707113,0.063,0.202,1,0,0,
"QF_NIA_small\257.smt2",0,0.0567984361424848,0.063,0.17,1,0,0,
"QF_NIA_small\264.smt2",0,0.103006827731092,0.094,0.187,1,0,0,
"QF_NIA_small\269.smt2",0,0.135820637119114,0.141,0.223,1,0,0,
"QF_NIA_small\281.smt2",0,0.053873094355171,0.063,0.183,1,0,0,
"QF_NIA_small\307.smt2",0,61.1725144687888,70.734,73.579,1,0,0,
"QF_NIA_small\310.smt2",0,207.506333793375,251.547,261.659,1,0,0,
"QF_NIA_small\322.smt2",0,0.0696664535379369,0.078,0.183,1,0,0,
"QF_NIA_small\34.smt2",0,46.6621818377912,51.703,53.762,1,0,0,
"QF_NIA_small\35.smt2",,840.836012861736,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.0415343074968234,0.047,0.161,1,0,0,
"QF_NIA_small\364.smt2",0,0.0548447986577181,0.063,0.158,1,0,0,
"QF_NIA_small\367.smt2",0,0.0562123817712812,0.063,0.226,1,0,0,
"QF_NIA_small\370.smt2",0,0.0571959755030621,0.063,0.167,1,0,0,
"QF_NIA_small\377.smt2",0,0.071746049165935,0.078,0.185,1,0,0,
"QF_NIA_small\40.smt2",,908.380373425966,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.114442013129103,0.125,0.247,1,0,0,
"QF_NIA_small\424.smt2",0,23.6415755467197,28.422,29.591,1,0,0,
"QF_NIA_small\443.smt2",0,0.0920774647887324,0.109,0.253,1,0,0,
"QF_NIA_small\449.smt2",0,0.258452975447357,0.297,0.461,1,0,0,
"QF_NIA_small\455.smt2",0,0.104045092838197,0.094,0.21,1,0,0,
"QF_NIA_small\460.smt2",0,0.251227583262169,0.281,0.47,1,0,0,
"QF_NIA_small\466.smt2",0,0.0868193891102258,0.094,0.192,1,0,0,
"QF_NIA_small\485.smt2",0,28.8483640939597,32.875,34.158,1,0,0,
"QF_NIA_small\496.smt2",0,0.0707521645021645,0.078,0.148,1,0,0,
"QF_NIA_small\498.smt2",0,0.0801491622394769,0.094,0.201,1,0,0,
"QF_NIA_small\500.smt2",0,0.0771386430678469,0.063,0.159,1,0,0,
"QF_NIA_small\507.smt2",0,0.0544338051623647,0.063,0.11,1,0,0,
"QF_NIA_small\514.smt2",0,0.110105263157895,0.125,0.383,1,0,0,
"QF_NIA_small\520.smt2",0,0.0584749552772809,0.063,0.163,1,0,0,
"QF_NIA_small\527.smt2",0,0.0970778532032244,0.109,0.224,1,0,0,
"QF_NIA_small\535.smt2",0,0.141749783174328,0.156,0.247,1,0,0,
"QF_NIA_small\54.smt2",,975.291375291375,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.132516891891892,0.141,0.246,1,0,0,
"QF_NIA_small\551.smt2",0,0.0550526315789474,0.063,0.294,1,0,0,
"QF_NIA_small\572.smt2",0,199.651392558344,216.734,225.484,1,0,0,
"QF_NIA_small\573.smt2",0,0.908739626556017,1.047,1.222,1,0,0,
"QF_NIA_small\574.smt2",0,0.91184988179669,0.922,1.095,1,0,0,
"QF_NIA_small\58.smt2",,929.777777777778,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,7.73454224006116,9.672,10.017,1,0,0,
"QF_NIA_small\586.smt2",0,9.30648243801653,10.766,11.261,0,1,0,
"QF_NIA_small\599.smt2",0,0.173803646031143,0.219,0.438,1,0,0,
"QF_NIA_small\604.smt2",0,1.14938893653516,1.281,1.455,0,1,0,
"QF_NIA_small\624.smt2",0,0.0679856489184692,0.078,0.203,1,0,0,
"QF_NIA_small\625.smt2",0,0.328614725014784,0.266,0.439,1,0,0,
"QF_NIA_small\65.smt2",,912.341910161361,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.154584049871023,0.172,0.393,1,0,0,
"QF_NIA_small\673.smt2",0,28.1358786361469,28.203,29.382,1,0,0,
"QF_NIA_small\677.smt2",0,0.485021357913669,0.516,0.7,1,0,0,
"QF_NIA_small\701.smt2",0,0.0408083645443196,0.047,0.158,1,0,0,
"QF_NIA_small\706.smt2",0,0.099354103343465,0.109,0.211,1,0,0,
"QF_NIA_small\707.smt2",0,0.0978667664670659,0.109,0.203,1,0,0,
"QF_NIA_small\709.smt2",0,0.0419428999144568,0.047,0.159,1,0,0,
"QF_NIA_small\711.smt2",0,0.0872442170818505,0.094,0.22,1,0,0,
"QF_NIA_small\722.smt2",0,0.0295146726862302,0.031,0.193,1,0,0,
"QF_NIA_small\73.smt2",,911.149825783972,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.0595129722348657,0.063,0.2,1,0,0,
"QF_NIA_small\74.smt2",0,0.0425433839479393,0.047,0.155,1,0,0,
"QF_NIA_small\75.smt2",0,0.0822671979865772,0.094,0.205,1,0,0,
"QF_NIA_small\750.smt2",0,0.221085559688874,0.313,0.496,1,0,0,
"QF_NIA_small\781.smt2",0,0.0711525903352199,0.078,0.177,1,0,0,
"QF_NIA_small\788.smt2",0,0.0870892539964476,0.094,0.176,1,0,0,
"QF_NIA_small\798.smt2",0,0.138038429054054,0.156,0.275,1,0,0,
"QF_NIA_small\808.smt2",0,0.0803132678132678,0.094,0.206,1,0,0,
"QF_NIA_small\821.smt2",0,0.380768369175627,0.406,0.598,1,0,0,
"QF_NIA_small\824.smt2",0,0.257946076282332,0.281,0.464,1,0,0,
"QF_NIA_small\828.smt2",0,0.0860197368421053,0.094,0.213,1,0,0,
