,"z3","{0}",,,,,,
,"RV 11744","T_norm 11744","T_cpu 11744","T_wc 11744","# SAT 11744","# UNSAT 11744","# UNKNOWN 11744",
"QF_NIA_small\181.smt2",,1013.07506053269,1000,1000,0,0,0,
"QF_NIA_small\182.smt2",,942.767012167643,1000,1000,0,0,0,
"QF_NIA_small\183.smt2",,894.017094017094,1000,1000,0,0,0,
"QF_NIA_small\185.smt2",,923.212709620477,1000,1000,0,0,0,
"QF_NIA_small\1850.smt2",0,0.0592164855072464,0.063,0.168,1,0,0,
"QF_NIA_small\1852.smt2",0,0.0846826424870466,0.094,0.182,1,0,0,
"QF_NIA_small\1858.smt2",0,0.068241127348643,0.078,0.182,1,0,0,
"QF_NIA_small\187.smt2",0,0.0410991198658843,0.047,0.193,1,0,0,
"QF_NIA_small\1884.smt2",0,0.168225455265241,0.203,0.378,1,0,0,
"QF_NIA_small\1895.smt2",0,72.978536345776,88.781,92.353,1,0,0,
"QF_NIA_small\1898.smt2",0,72.444773976024,69.328,72.162,1,0,0,
"QF_NIA_small\1901.smt2",0,154.48321143617,194.359,202.166,1,0,0,
"QF_NIA_small\1917.smt2",0,0.162624378109453,0.219,0.403,1,0,0,
"QF_NIA_small\192.smt2",0,0.0564794816414687,0.063,0.172,1,0,0,
"QF_NIA_small\1924.smt2",0,0.0671545968156138,0.063,0.166,1,0,0,
"QF_NIA_small\1933.smt2",0,1.03223684210526,1.125,1.259,1,0,0,
"QF_NIA_small\1934.smt2",0,1.16636931311329,1.25,1.416,0,1,0,
"QF_NIA_small\199.smt2",0,0.138213530655391,0.156,0.288,1,0,0,
"QF_NIA_small\20.smt2",0,1.7665274339934,2.047,2.199,1,0,0,
"QF_NIA_small\203.smt2",0,6.58289930555556,7.25,7.547,1,0,0,
"QF_NIA_small\211.smt2",0,14.021526528777,14.906,16.643,1,0,0,
"QF_NIA_small\23.smt2",0,7.05432189913676,7.422,7.762,1,0,0,
"QF_NIA_small\250.smt2",0,0.0557807167235495,0.063,0.148,1,0,0,
"QF_NIA_small\257.smt2",0,0.0678727159468439,0.078,0.168,1,0,0,
"QF_NIA_small\264.smt2",0,0.0719083909490886,0.109,0.234,1,0,0,
"QF_NIA_small\269.smt2",0,0.109140233722871,0.125,1.273,1,0,0,
"QF_NIA_small\281.smt2",0,0.0705688687392055,0.078,0.179,1,0,0,
"QF_NIA_small\307.smt2",0,56.1942087399236,63.313,65.86,1,0,0,
"QF_NIA_small\310.smt2",0,219.274372478709,233.844,243.137,1,0,0,
"QF_NIA_small\322.smt2",0,0.0892694583522986,0.094,0.304,1,0,0,
"QF_NIA_small\34.smt2",0,46.0046296296296,49.875,51.919,1,0,0,
"QF_NIA_small\35.smt2",,915.936952714536,1000,1000,0,0,0,
"QF_NIA_small\359.smt2",0,0.064548775671406,0.078,0.151,1,0,0,
"QF_NIA_small\364.smt2",0,0.0701147576147576,0.078,0.127,1,0,0,
"QF_NIA_small\367.smt2",0,0.0558521999145664,0.063,0.171,1,0,0,
"QF_NIA_small\370.smt2",0,0.0431803170409511,0.047,0.155,1,0,0,
"QF_NIA_small\377.smt2",0,0.0514358772619984,0.063,0.131,1,0,0,
"QF_NIA_small\40.smt2",,981.238273921201,1000,1000,0,0,0,
"QF_NIA_small\400.smt2",0,0.0936604584527221,0.094,0.209,1,0,0,
"QF_NIA_small\424.smt2",0,23.7913495971352,25.406,26.428,1,0,0,
"QF_NIA_small\443.smt2",0,0.0768755879586077,0.078,0.173,1,0,0,
"QF_NIA_small\449.smt2",0,0.204808897243108,0.234,0.386,1,0,0,
"QF_NIA_small\455.smt2",0,0.0879090094128194,0.094,0.189,1,0,0,
"QF_NIA_small\460.smt2",0,0.21495506356861,0.234,1.424,1,0,0,
"QF_NIA_small\466.smt2",0,0.0713389349628983,0.078,0.203,1,0,0,
"QF_NIA_small\485.smt2",0,28.9831016553481,32.641,33.965,1,0,0,
"QF_NIA_small\496.smt2",0,0.0550990307627476,0.063,0.144,1,0,0,
"QF_NIA_small\498.smt2",0,0.0862467018469657,0.094,0.176,1,0,0,
"QF_NIA_small\500.smt2",0,0.0911785216178522,0.094,0.19,1,0,0,
"QF_NIA_small\507.smt2",0,0.0578028293545535,0.063,0.187,1,0,0,
"QF_NIA_small\514.smt2",0,0.084500215424386,0.094,0.209,1,0,0,
"QF_NIA_small\520.smt2",0,0.0555909863945578,0.063,0.152,1,0,0,
"QF_NIA_small\527.smt2",0,0.0814134495641345,0.094,0.246,1,0,0,
"QF_NIA_small\535.smt2",0,0.0863986784140969,0.094,0.216,1,0,0,
"QF_NIA_small\54.smt2",,884.192730346577,1000,1000,0,0,0,
"QF_NIA_small\544.smt2",0,0.109505862646566,0.125,0.252,1,0,0,
"QF_NIA_small\551.smt2",0,0.0680139409071993,0.078,0.164,1,0,0,
"QF_NIA_small\572.smt2",0,206.430487414676,231.297,240.703,1,0,0,
"QF_NIA_small\573.smt2",0,0.949595949263502,1.109,1.272,1,0,0,
"QF_NIA_small\574.smt2",0,0.838141025641026,0.891,1.059,1,0,0,
"QF_NIA_small\58.smt2",,919.56043956044,1000,1000,0,0,0,
"QF_NIA_small\583.smt2",0,7.357135216089,8.219,8.487,1,0,0,
"QF_NIA_small\586.smt2",0,9.15193593615185,10.141,10.534,0,1,0,
"QF_NIA_small\599.smt2",0,0.179601648351648,0.203,0.29,1,0,0,
"QF_NIA_small\604.smt2",0,1.17916317114094,1.344,1.501,0,1,0,
"QF_NIA_small\624.smt2",0,0.070844169917642,0.078,0.171,1,0,0,
"QF_NIA_small\625.smt2",0,0.258285776997366,0.281,0.415,1,0,0,
"QF_NIA_small\65.smt2",,1034.10776075136,1000,1000,0,0,0,
"QF_NIA_small\652.smt2",0,0.152875212585034,0.172,0.27,1,0,0,
"QF_NIA_small\673.smt2",0,24.9912746170678,27.297,28.432,1,0,0,
"QF_NIA_small\677.smt2",0,0.497202303346371,0.547,1.676,1,0,0,
"QF_NIA_small\701.smt2",0,0.0698450854700855,0.078,0.182,1,0,0,
"QF_NIA_small\706.smt2",0,0.0844638242894057,0.094,0.199,1,0,0,
"QF_NIA_small\707.smt2",0,0.0999181222707424,0.109,0.233,1,0,0,
"QF_NIA_small\709.smt2",0,0.0408934528773978,0.047,0.176,1,0,0,
"QF_NIA_small\711.smt2",0,0.0825789473684211,0.094,0.231,1,0,0,
"QF_NIA_small\722.smt2",0,0.0404381443298969,0.047,0.203,1,0,0,
"QF_NIA_small\73.smt2",,904.453091223519,1000,1000,0,0,0,
"QF_NIA_small\732.smt2",0,0.036824070597071,0.047,0.201,1,0,0,
"QF_NIA_small\74.smt2",0,0.0426544149630274,0.047,0.167,1,0,0,
"QF_NIA_small\75.smt2",0,0.0828580481622307,0.094,0.197,1,0,0,
"QF_NIA_small\750.smt2",0,0.249222512038523,0.297,0.49,1,0,0,
"QF_NIA_small\781.smt2",0,0.0967903976311337,0.109,0.18,1,0,0,
"QF_NIA_small\788.smt2",0,0.0757356348470806,0.078,0.175,1,0,0,
"QF_NIA_small\798.smt2",0,0.140289699570815,0.156,0.275,1,0,0,
"QF_NIA_small\808.smt2",0,0.0725421660008877,0.078,0.186,1,0,0,
"QF_NIA_small\821.smt2",0,0.343777388255916,0.375,0.542,1,0,0,
"QF_NIA_small\824.smt2",0,0.246801593959732,0.281,0.413,1,0,0,
"QF_NIA_small\828.smt2",0,0.0691652560304697,0.078,0.182,1,0,0,
"QF_NIA_small\83.smt2",0,1.59818957564576,1.656,1.811,0,1,0,
"QF_NIA_small\841.smt2",0,0.0873530197755211,0.078,0.155,1,0,0,
"QF_NIA_small\843.smt2",0,0.239806715575621,0.203,0.284,1,0,0,
"QF_NIA_small\849.smt2",0,0.0929943100995732,0.094,0.205,1,0,0,
"QF_NIA_small\866.smt2",0,39.4783079142622,45.781,47.592,1,0,0,
"QF_NIA_small\888.smt2",0,0.0822533970810267,0.078,0.174,1,0,0,
"QF_NIA_small\891.smt2",0,0.0410646984924623,0.047,0.153,1,0,0,
"QF_NIA_small\909.smt2",0,0.0555437553101105,0.063,0.15,1,0,0,
"QF_NIA_small\93.smt2",0,20.8876875551633,22.625,23.514,1,0,0,
"QF_NIA_small\940.smt2",0,0.127574804856895,0.141,0.514,1,0,0,
"QF_NIA_small\946.smt2",0,0.0770931603773585,0.078,0.134,1,0,0,
"QF_NIA_small\947.smt2",0,0.0558760683760684,0.063,0.126,1,0,0,
"QF_NIA_small\966.smt2",,916.739702015776,1000,1000,0,0,0,
"QF_NIA_small\98.smt2",,892.872385830132,1000,1000,0,0,0,
"QF_NIA_small\989.smt2",0,0.147907239819005,0.172,0.273,1,0,0,
"QF_NIA_small\99.smt2",,868.04979253112,1000,1000,0,0,0,
"QF_NIA_small\995.smt2",0,0.276661024121879,0.313,0.542,1,0,0,
"QF_NIA_small\aaron3_true-termination.c_Iteration1_Loop+nonterminationTemplate_0.smt2",0,1.10138387484958,1.313,1.515,0,1,0,
"QF_NIA_small\aproveSMT1008289700543544835.smt2",0,0.0401566339066339,0.047,0.152,1,0,0,
"QF_NIA_small\aproveSMT1022543817592849705.smt2",0,0.0272282382340691,0.031,0.158,1,0,0,
"QF_NIA_small\aproveSMT1045293394610378205.smt2",0,0.04847380128522,0.047,0.421,1,0,0,
"QF_NIA_small\aproveSMT1059628807158111792.smt2",0,0.0675082610491533,0.078,0.182,0,1,0,
"QF_NIA_small\aproveSMT1067631316961394932.smt2",0,10.1222422783795,12.063,12.544,1,0,0,
"QF_NIA_small\aproveSMT1076852626867582761.smt2",0,0.0270033044196613,0.031,0.203,1,0,0,
"QF_NIA_small\aproveSMT1105246329636558105.smt2",0,0.1615793376174,0.156,0.343,0,1,0,
"QF_NIA_small\aproveSMT1133405555645861684.smt2",0,0.133855446355446,0.156,0.259,1,0,0,
"QF_NIA_small\aproveSMT1154766035975480809.smt2",0,0.0285480349344978,0.031,0.192,1,0,0,
"QF_NIA_small\aproveSMT1166681508436419880.smt2",0,0.0408423573511037,0.047,0.181,1,0,0,
"QF_NIA_small\aproveSMT1207857789260966146.smt2",0,0.31143310837634,0.375,0.545,1,0,0,
"QF_NIA_small\aproveSMT1222406278700673783.smt2",0,10.0193307905687,10.359,10.927,0,1,0,
"QF_NIA_small\aproveSMT1256079449125527892.smt2",0,0.113252490255522,0.125,0.257,1,0,0,
"QF_NIA_small\aproveSMT1261041288686639410.smt2",0,0.01615793376174,0.016,0.217,1,0,0,
"QF_NIA_small\aproveSMT1296180034830538453.smt2",0,0.495265151515152,0.578,0.731,1,0,0,
"QF_NIA_small\aproveSMT1329540615731828670.smt2",0,4.78650825346113,4.297,4.536,1,0,0,
"QF_NIA_small\aproveSMT1437438160177275586.smt2",0,30.3730997501041,34.859,36.289,0,1,0,
"QF_NIA_small\aproveSMT144364303553946193.smt2",0,0.0277483022071307,0.031,0.164,1,0,0,
"QF_NIA_small\aproveSMT1444998859697836742.smt2",0,0.040504956629492,0.047,0.16,1,0,0,
"QF_NIA_small\aproveSMT1510730073127582778.smt2",0,0.0416047942299533,0.047,0.149,1,0,0,
"QF_NIA_small\aproveSMT1524169612101880749.smt2",0,1.25154842342342,1.328,1.511,1,0,0,
"QF_NIA_small\aproveSMT1530191844080893274.smt2",0,15.6443231441048,17.125,17.843,1,0,0,
"QF_NIA_small\aproveSMT1575921927310304758.smt2",0,16.9474380630631,17.984,18.762,1,0,0,
"QF_NIA_small\aproveSMT1619938986991890573.smt2",0,0.0575484154929578,0.063,0.287,1,0,0,
"QF_NIA_small\aproveSMT1656844573245055412.smt2",0,5.49643747773423,7.375,7.717,0,1,0,
"QF_NIA_small\aproveSMT1697563446985587562.smt2",0,0.0449415673693859,0.047,0.136,1,0,0,
"QF_NIA_small\aproveSMT1705398915961754594.smt2",0,21.9586319822047,21.234,22.173,1,0,0,
"QF_NIA_small\aproveSMT1709482801492808359.smt2",0,0.0843548387096774,0.094,0.223,1,0,0,
"QF_NIA_small\aproveSMT1747479424109945297.smt2",0,1.67047423126895,1.844,2.023,0,1,0,
"QF_NIA_small\aproveSMT1750284694627347091.smt2",0,0.621811500216169,0.688,0.857,0,1,0,
"QF_NIA_small\aproveSMT1802082844053698751.smt2",0,27.705925,33.109,34.442,0,1,0,
"QF_NIA_small\aproveSMT1832939841447591359.smt2",0,0.741693679092383,0.875,1.042,1,0,0,
"QF_NIA_small\aproveSMT1909899370567820557.smt2",0,0.0975746268656716,0.109,0.23,1,0,0,
