path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10-clausal-lookahead result,hybrid-10-clausal-lookahead time,hybrid-10-clausal-lookahead memory,hybrid-10-lookahead result,hybrid-10-lookahead time,hybrid-10-lookahead memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/K512-016__task__t.ads_3_9_task_termination___00.smt2,SAT,19,17790,SAT,16,17810,SAT,16,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/M604-044__overflow__misovattr.adb_7_35_range_check___00.smt2,SAT,18,17890,SAT,14,17910,SAT,16,17910
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/S920-003__flow_noret__noret.adb_6_7_raise___00.smt2,SAT,17,17790,SAT,16,17810,SAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/KC22-015__succ_overflow__p.adb_37_19_range_check___00.smt2,UNSAT,14,17880,UNSAT,14,17900,UNSAT,16,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P725-016__recursive_spec__main.adb_5_19_precondition___00.smt2,UNSAT,13,17790,UNSAT,16,17810,UNSAT,14,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__r.adb_46_10_dead_code___00.smt2,SAT,16,17790,SAT,14,17810,SAT,16,17810
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/Q906-011__counterexample__copy_values.adb_6_22_assert___00.smt2,SAT,14,18220,SAT,26,50990,SAT,24,50990
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/Q130-019__missing_discr_check__p_init.ads_15_24_range_check___00.smt2,UNSAT,13,17880,UNSAT,22,17900,UNSAT,12,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/M524-002__demorgan__test.adb_12_22_assert___00.smt2,UNSAT,13,18160,UNSAT,26,50920,UNSAT,24,50920
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__call_proc_no_body.adb_4_7_precondition___00.smt2,SAT,13,18160,SAT,26,50940,SAT,25,50940
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/L323-005__recursive__p.ads_7_36_postcondition___00.smt2,SAT,14,18360,SAT,26,51050,SAT,22,51050
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/L323-005__recursive__p.adb_6_23_assert___00.smt2,SAT,16,18360,SAT,34,51050,SAT,28,51050
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__imported.adb_10_7_precondition___00.smt2,SAT,12,18160,SAT,37,50940,SAT,27,50940
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/S729-004__inline_dispatching__p.adb_6_22_assert___00.smt2,SAT,16,18210,SAT,25,50990,SAT,25,50990
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/KC22-015__succ_overflow__p.adb_29_36_overflow_check___00.smt2,UNSAT,12,17880,UNSAT,14,17900,UNSAT,14,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/Q130-019__missing_discr_check__p_init.ads_14_24_range_check___00.smt2,UNSAT,14,17880,UNSAT,13,17900,UNSAT,12,17900
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/R220-054__fixed_point_small__fp_test.adb_6_17_overflow_check___00.smt2,SAT,19,18310,SAT,27,51020,SAT,27,51020
/home/ceisenhofer/SMTLIB/BenchMin/QF_UFDTLIRA/20200306-Kanig/spark2014bench/O429-052__flow_tasking_exclusivity_checks__two_task_type_objects_single_so.ads_7_14_task_termination___00.smt2,SAT,13,18200,SAT,27,50980,SAT,28,50980
