path,vanilla-10 result,vanilla-10 time,vanilla-10 memory,hybrid-10 result,hybrid-10 time,hybrid-10 memory
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance09912.smt2,SAT,73,21870,SAT,85,54570
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15454.smt2,UNSAT,33,19850,UNSAT,21,19870
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05269.smt2,SAT,17,18590,SAT,22,51310
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance07317.smt2,SAT,46,21550,SAT,58,54400
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance12799.smt2,SAT,33,19410,SAT,32,51940
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08223.smt2,UNSAT,34,20600,UNSAT,50,53550
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15907.smt2,SAT,20,18000,SAT,12,18020
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance07483.smt2,SAT,60,25130,SAT,78,57660
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance06062.smt2,SAT,32,19420,SAT,38,52190
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10783.smt2,UNSAT,19,17900,UNSAT,21,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance03052.smt2,SAT,19,18690,SAT,41,51380
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04033.smt2,SAT,17,19530,SAT,43,52220
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance04157.smt2,SAT,39,19700,SAT,42,51900
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00259.smt2,SAT,33,18640,SAT,32,51380
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance03136.smt2,SAT,21,18650,SAT,32,51430
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance00091.smt2,SAT,55,21110,SAT,44,53860
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15863.smt2,UNSAT,20,19090,UNSAT,44,51920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance10853.smt2,UNSAT,20,17900,UNSAT,22,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01167.smt2,SAT,21,18990,SAT,44,51570
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15108.smt2,SAT,93,24620,SAT,99,57450
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance09079.smt2,UNSAT,46,23000,UNSAT,64,56240
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance14721.smt2,SAT,23,19240,SAT,41,52050
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance13333.smt2,UNSAT,85,21080,UNSAT,100,54000
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance12802.smt2,UNSAT,29,19300,UNSAT,18,19320
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance06942.smt2,SAT,96,25950,SAT,107,58900
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08498.smt2,SAT,107,23240,SAT,113,56000
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance13740.smt2,SAT,22,17900,SAT,13,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance11592.smt2,SAT,50,21800,SAT,74,54590
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance06411.smt2,SAT,85,22080,SAT,108,55040
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15828.smt2,SAT,57,20660,SAT,79,53540
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance15592.smt2,UNSAT,18,18010,UNSAT,17,18030
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance13624.smt2,UNSAT,31,19840,UNSAT,47,52870
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance11711.smt2,SAT,29,19080,SAT,28,51700
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance09156.smt2,UNSAT,31,19770,UNSAT,47,52680
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance03019.smt2,SAT,91,20870,SAT,105,53690
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance05280.smt2,SAT,11,17800,SAT,13,17820
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08347.smt2,SAT,65,21490,SAT,76,54410
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance09213.smt2,UNSAT,27,18110,UNSAT,12,18130
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance09032.smt2,SAT,53,20980,SAT,60,53760
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance12497.smt2,UNSAT,27,17900,UNSAT,12,17920
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance02208.smt2,SAT,60,20300,SAT,70,53000
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance08281.smt2,SAT,25,19190,SAT,34,52070
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance03317.smt2,SAT,24,18560,SAT,20,51350
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance03273.smt2,SAT,16,18550,SAT,21,51320
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance01222.smt2,SAT,16,18790,SAT,26,51510
/home/ceisenhofer/SMTLIB/BenchMin/QF_S/20230329-automatark-lu/instance09377.smt2,SAT,34,19730,SAT,36,52560
